id,english,code,hypers,hypons
1431,Quotations,080,1345,"1432,1433,1434,1435,1436,1437,1438,1439,1440"
1432,General Collections,080,1431,
1433,Collections In American English,081,1431,
1434,Collections In English,082,1431,
1435,Collections In Other Germanic Languages,083,1431,
1436,"Collections In French, Occitan & Catalan",084,1431,
1437,Collections In Spanish & Portuguese,086,1431,
1438,Collections In Slavic Languages,087,1431,
1439,Collections In Scandinavian Languages,088,1431,
1440,Collections In Other Languages,089,1431,
1441,Manuscripts & Rare Books,090,1345,"1442,1443,1444,1445,1446,1447,1448,1449,1450,2938"
1442,Manuscripts,091,1441,
1443,Block Books,092,1441,
1444,Incunabula,093,1441,
1445,Printed Books,094,1441,
1446,Books Notable For Bindings,095,1441,
1447,Books Notable For Illustrations,096,1441,
1448,Books Notable For Ownership Or Origin,097,1441,
1449,"Prohibited Works, Forgeries & Hoaxes",098,1441,
1450,Books Notable For Format,099,1441,
1451,Philosophy & Psychology,100,,"1452,1459,1468,1477,1491,1502,1527,1535,1545,1555"
1452,Philosophy,100,1451,"2925,1458,1457,1456,1455,1454,1453"
1453,Theory Of Philosophy,101,1452,
1454,Miscellany,102,1452,
1455,Dictionaries & Encyclopedias,103,1452,
1456,Serial Publications,105,1452,
1457,Organizations & Management,106,1452,
1458,"Education, Research & Related Topics",107,1452,
1459,Metaphysics,110,1451,"1460,1461,1462,1463,1464,1465,1466,1467,2939"
1460,Ontology,111,1459,
1461,Cosmology,113,1459,
1462,Space,114,1459,
1463,Time,115,1459,
1464,Change,116,1459,
1465,Structure,117,1459,
1466,Force & Energy,118,1459,
1467,Number & Quantity,119,1459,
1468,Epistemology,120,1451,"1469,1470,1471,1472,1473,1474,1475,1476,2940"
1469,"Epistemology, Causation & Humankind",120,1468,
1470,Causation,122,1468,
1471,Determinism & Indeterminism,123,1468,
1472,Teleology,124,1468,
1473,The Self,126,1468,
1474,The Unconscious & The Subconscious,127,1468,
1475,Humankind,128,1468,
1476,Origin & Destiny Of Individual Souls,129,1468,
1477,Parapsychology & Occultism,130,1451,"2941,1490,1489,1488,1487,1479,1478"
1478,Parapsychological & Occult Methods,131,1477,
1479,Specific Topics In Parapsychology & Occultism,133,1477,"1486,1485,1484,1483,1482,1481,1480"
1480,Apparitions,133.1,1479,
1481,Divinatory Arts,133.3,1479,
1482,Demonology And Witchcraft,133.4,1479,
1483,Astrology,133.5,1479,
1484,Palmistry,133.6,1479,
1485,Psychic Phenomena,133.8,1479,
1486,Spiritualism,133.9,1479,
1487,Dreams & Mysteries,135,1477,
1488,Divinatory Graphology,137,1477,
1489,Physiognomy,138,1477,
1490,Phrenology,139,1477,
1491,Philosophical Schools Of Thought,140,1451,"1492,1493,1494,1495,1496,1497,1498,1499,1500,1501"
1492,Specific Philosophical Schools,140,1491,
1493,Idealism & Related Systems,141,1491,
1494,Critical Philosophy,142,1491,
1495,Bergsonism & Intuitionism,143,1491,
1496,Humanism & Related Systems,144,1491,
1497,Sensationalism,145,1491,
1498,Naturalism & Related Systems,146,1491,
1499,Pantheism & Related Systems,147,1491,
1500,"Eclecticism, Liberalism & Traditionalism",148,1491,
1501,Other Philosophical Systems,149,1491,
1502,Psychology,150,1451,"1503,2942,1526,1525,1524,1518,1509"
1503,"Perception, Movement, Emotions & Drives",152,1502,"1508,1507,1506,1505,1504"
1504,Sensory Perception,152.1,1503,
1505,"Movements And Motor Functions, Facial Expressions, Laterality",152.3,1503,
1506,Emotions And Feelings,152.4,1503,
1507,Physiological Drives,152.5,1503,
1508,"Quantitative Threshold, Discrimination, Reaction-Time Studies",152.8,1503,
1509,Mental Processes & Intelligence,153,1502,"1510,1511,1512,1513,1514,1515,1516,1517"
1510,Memory And Learning,153.1,1509,
1511,Formation And Association Of Ideas,153.2,1509,
1512,Imagination And Imagery,153.3,1509,
1513,Knowledge (Cognition),153.4,1509,
1514,Communication,153.6,1509,
1515,Perceptual Processes,153.7,1509,
1516,Will (Volition),153.8,1509,
1517,Intelligence And Aptitudes,153.9,1509,
1518,Subconscious & Altered States,154,1502,"1523,1522,1521,1520,1519"
1519,The Subconscious,154.2,1518,
1520,"Daydreams, Fantasies, Reveries",154.3,1518,
1521,Altered States Of Concsiousness,154.4,1518,
1522,Sleep Phenomena,154.6,1518,
1523,Hypnotism,154.7,1518,
1524,Differential & Developmental Psychology,155,1502,
1525,Comparative Psychology,156,1502,
1526,Applied Psychology,158,1502,
1527,Philosophical logic,160,1451,"1528,1529,1530,1531,1532,1533,1534,2943"
1528,Induction,161,1527,
1529,Deduction,162,1527,
1530,Fallacies & Sources Of Error,165,1527,
1531,Syllogisms,166,1527,
1532,Hypotheses,167,1527,
1533,Argument & Persuasion,168,1527,
1534,Analogy,169,1527,
1535,Ethics,170,1451,"1536,1537,1538,1539,1540,1541,1542,1543,1544,2944"
1536,Ethical Systems,171,1535,
1537,Political Ethics,172,1535,
1538,Ethics Of Family Relationships,173,1535,
1539,Occupational Ethics,174,1535,
1540,Ethics Of Recreation & Leisure,175,1535,
1541,Ethics Of Sex & Reproduction,176,1535,
1542,Ethics Of Social Relations,177,1535,
1543,Ethics Of Consumption,178,1535,
1544,Other Ethical Norms,179,1535,
1545,"Ancient, Medieval & Eastern Philosophy",180,1451,"1546,1547,1548,1549,1550,1551,1552,1553,1554,2945"
1546,Eastern Philosophy,181,1545,
1547,Pre-Socratic Greek Philosophies,182,1545,
1548,Socratic & Related Philosophies,183,1545,
1549,Platonic Philosophy,184,1545,
1550,Aristotelian Philosophy,185,1545,
1551,Skeptic & Neoplatonic Philosophies,186,1545,
1552,Epicurean Philosophy,187,1545,
1553,Stoic Philosophy,188,1545,
1554,Medieval Western Philosophy,189,1545,
1555,Modern Western Philosophy,190,1451,"1556,1557,1558,1559,1560,1561,1562,1563,1564,2946"
1556,Philosophy Of United States & Canada,191,1555,
1557,Philosophy Of British Isles,192,1555,
1558,Philosophy Of Germany & Austria,193,1555,
1559,Philosophy Of France,194,1555,
1560,Philosophy Of Italy,195,1555,
1561,Philosophy Of Spain & Portugal,196,1555,
1562,Philosophy Of Former Soviet Union,197,1555,
1563,Philosophy Of Scandinavia,198,1555,
1564,Philosophy In Other Geographic Areas,199,1555,
1565,Religion,200,,"1575,1581,1608,1616,1625,1633,1644,1655,1665,2926"
1566,Religious Mythology & Social Theology,201,1565,
1567,Doctrines,202,1565,
1568,Public Worship & Other Practices,203,1565,
1569,"Religious Experience, Life & Practice",204,1565,
1570,Religious Ethics,205,1565,
1571,Leaders & Organization,206,1565,
1572,Missions & Religious Education,207,1565,
1573,Sources,208,1565,
1574,Sects & Reform Movements,209,1565,
1575,Philosophy & Theory Of Religion,210,1565,"1580,1579,1578,1577,1576,2947,2882"
1576,Concepts Of God,211,1575,
1577,"Existence, Knowability & Attributes Of God",212,1575,
1578,Creation,213,1575,
1579,Theodicy,214,1575,
1580,Science & Religion,215,1575,
1581,The Bible,220,1565,"1582,1591,1592,1593,1594,1595,1596,1605,1606,1607"
1582,Bible,220,1581,
1583,Origins And Authenticity,220.1,1582,
1584,Encyclopedias And Topical Dictionaries,220.3,1582,
1585,"Original Texts, Early Versions, Early Translations",220.4,1582,
1586,Modern Versions And Translations,220.5,1582,
1587,Interpretation And Criticism (Exegesis),220.6,1582,
1588,Commentaries,220.7,1582,
1589,Nonreligious Subjects Treated In Bible,220.8,1582,
1590,"Geography, History, Chronology, Persons Of Bible Lands In Bible Times",220.9,1582,
1591,Old Testament (Tanakh),221,1581,
1592,Historical Books Of Old Testament,222,1581,
1593,Poetic Books Of Old Testament,223,1581,
1594,Prophetic Books Of Old Testament,224,1581,
1595,New Testament,225,1581,
1596,Gospels & Acts,226,1581,"1597,1598,1599,1600,1601,1602,1603,1604"
1597,Matthew,226.2,1596,
1598,Mark,226.3,1596,
1599,Luke,226.4,1596,
1600,John,226.5,1596,
1601,Acts Of The Apostles,226.6,1596,
1602,Miracles,226.7,1596,
1603,Parables,226.8,1596,
1604,Sermon On The Mount,226.9,1596,
1605,Epistles,227,1581,
1606,Revelation (Apocalypse),228,1581,
1607,Apocrypha & Pseudepigrapha,229,1581,
1608,Christianity & Christian Theology,230,1565,"1609,1610,1611,1612,1613,1614,1615,2948"
1609,God,231,1608,
1610,Jesus Christ & His Family,232,1608,
1611,Salvation & Grace,234,1608,
1612,Spiritual Beings,235,1608,
1613,Eschatology,236,1608,
1614,Creeds & Catechisms,238,1608,
1615,Apologetics & Polemics,239,1608,
1616,Christian Practice & Observance,240,1565,"1617,1618,1619,1620,1621,1622,1623,1624"
1617,Christian Moral & Devotional Theology,240,1616,
1618,Christian Ethics,241,1616,
1619,Devotional Literature,242,1616,
1620,Evangelistic Writings For Individuals,243,1616,
1621,Use Of Art In Christianity,246,1616,
1622,Church Furnishings & Articles,247,1616,
1623,"Christian Experience, Practice & Life",248,1616,
1624,Christian Observances In Family Life,249,1616,
1625,Local Christian church and Christian religious orders,250,1626,
1626,Christian Orders & Local Church,250,1565,"1631,1630,1629,1628,1627,1626,1632"
1627,Preaching,251,1625,
1628,Texts Of Sermons,252,1625,
1629,Pastoral Office & Work,253,1625,
1630,Parish Administration,254,1625,
1631,Religious Congregations & Orders,255,1625,
1632,Pastoral Care Of Families & Kinds Of Persons,259,1625,
1633,Christian social and ecclesiastical theology,260,1634,
1634,Social & Ecclesiastical Theology,260,1565,"1633,1635,1636,1637,1638,1639,1640,1641,1642,1643"
1635,Social Theology,261,1633,
1636,Ecclesiology,262,1633,
1637,"Days, Times & Places Of Observance",263,1633,
1638,Public Worship,264,1633,
1639,"Sacraments, Other Rites & Acts",265,1633,
1640,Missions,266,1633,
1641,Associations For Religious Work,267,1633,
1642,Religious Education,268,1633,
1643,Spiritual Renewal,269,1633,
1644,History Of Christianity,270,1565,"1645,1646,1647,1648,1649,1650,1651,1652,1653,1654"
1645,"History, geographic treatment, biography of Christianity",270,1644,
1646,Religious Orders In Church History,271,1644,
1647,Persecutions In Church History,272,1644,
1648,Doctrinal Controversies & Heresies,273,1644,
1649,History Of Christianity In Europe,274,1644,
1650,History Of Christianity In Asia,275,1644,
1651,History Of Christianity In Africa,276,1644,
1652,History Of Christianity In North America,277,1644,
1653,History Of Christianity In South America,278,1644,
1654,History Of Christianity In Other Areas,279,1644,
1655,Christian Denominations,280,1565,"1656,1657,1658,1659,1660,1661,1662,1663,1664"
1656,Denominations and sects of Christian church,280,1655,
1657,Early Church & Eastern Churches,281,1655,
1658,Roman Catholic Church,282,1655,
1659,Anglican Churches,283,1655,
1660,Protestants Of Continental Origin,284,1655,
1661,"Presbyterian, Reformed & Congregational",285,1655,
1662,"Baptist, Disciples Of Christ & Adventist",286,1655,
1663,Methodist & Related Churches,287,1655,
1664,Other Denominations & Sects,289,1655,
1665,Other Religions,290,1565,"1666,1667,1668,1669,1670,1671,1672,2949"
1666,Greek & Roman Religion,292,1665,
1667,Germanic Religion,293,1665,
1668,Religions Of Indic Origin,294,1665,
1669,Zoroastrianism,295,1665,
1670,Judaism,296,1665,
1671,"Islam, Babism & Bahai Faith",297,1665,
1672,Religions Not Provided For Elsewhere,299,1665,
1673,Social Sciences,300,,"1674,1710,1718,1753,1802,1819,1862,1898,1930,1952"
1674,"Social Sciences, Sociology & Anthropology",300,1673,"1689,1684,2928,1680,1676,1675,1706,1698"
1675,Sociology & Anthropology,301,1674,
1676,Social Interaction,302,1674,"1679,1678,1677,1514"
1677,Social Interaction Within Groups,302.3,1676,
1678,Social Interaction Between Groups,302.4,1676,
1679,Relation Of The Individual To Society,302.5,1676,
1680,Social Processes,303,1674,"1683,1682,1681"
1681,Coordination And Control,303.3,1680,
1682,Social Change,303.4,1680,
1683,Conflict,303.6,1680,
1684,Factors Affecting Social Behavior,304,1674,"1687,1686,1685,1688"
1685,Human Ecology,304.2,1684,
1686,Genetic Factors,304.5,1684,
1687,Population,304.6,1684,
1688,Movement Of People,304.8,1684,
1689,Social Groups,305,1674,"1695,1694,1693,1692,1691,1690,1697,1696"
1690,Age Groups,305.2,1689,
1691,Men And Women,305.3,1689,
1692,Women,305.4,1689,
1693,Social Classes,305.5,1689,
1694,Religious Groups,305.6,1689,
1695,Language Groups,305.7,1689,
1696,"Racial, Ethnic, National Groups",305.8,1689,
1697,Occupational And Miscellaneous Groups,305.9,1689,
1698,Culture & Institutions,306,1674,"1705,1704,1703,1702,1701,1700,1699"
1699,Political Institutions,306.2,1698,
1700,Economic Institutions,306.3,1698,
1701,Specific Types Of Culture,306.4,1698,
1702,Religious Institutions,306.6,1698,
1703,Institutions Pertaining To Relations Of The Sexes,306.7,1698,
1704,Marriage And Family,306.8,1698,
1705,Institutions Pertaining To Death,306.9,1698,
1706,Communities,307,1674,"1687,1709,1708,1707"
1707,Community Planning And Development,307.1,1706,
1708,Community Structure,307.3,1706,
1709,Specific Kinds Of Communities,307.7,1706,
1710,Statistics,310,1673,"1717,1716,1715,1714,1713,1712,1711"
1711,Collections Of General Statistics,310,1710,
1712,General Statistics Of Europe,314,1710,
1713,General Statistics Of Asia,315,1710,
1714,General Statistics Of Africa,316,1710,
1715,General Statistics Of North America,317,1710,
1716,General Statistics Of South America,318,1710,
1717,General Statistics Of Other Areas,319,1710,
1718,Political Science,320,1673,"1725,1730,1732,1738,1745,1746,1747,1750,2950"
1719,The State,320.1,2950,
1720,Comparative,320.3,2950,
1721,Structure And Functions Of Government,320.4,2950,
1722,Political Ideologies,320.5,2950,
1723,Local Government,320.8,2950,
1724,Political Situation And Conditions,320.9,2950,
1725,Systems Of Governments & States,321,1718,"1727,1726,1729,1728"
1726,Pure Democracy,321.4,1725,
1727,Elitist Systems,321.5,1725,
1728,Democratic Systems,321.8,1725,
1729,Authoritarian Systems,321.9,1725,
1730,Relation Of State To Organized Groups,322,1718,1731
1731,Political Action Groups,322.4,1730,
1732,Civil & Political Rights,323,1718,"1737,1736,1735,1734,1733"
1733,"Civil Rights Of Non-Dominant Aggregates, Political Rights Of Non-Dominant Aggregates",323.1,1732,
1734,Civil And Political Rights Of Other Social Aggregates,323.3,1732,
1735,Specific Civil Rights; Limitation And Suspension Of Civil Rights,323.4,1732,
1736,Political Rights,323.5,1732,
1737,Citizenship And Related Topics,323.6,1732,
1738,The Political Process,324,1718,"1744,1743,1742,1741,1740,1739"
1739,"International Party Organizations, Auxiliaries, Activities",324.1,1738,
1740,Political Parties,324.2,1738,
1741,Nomination Of Candidates,324.5,1738,
1742,Election Systems And Procedures; Suffrage,324.6,1738,
1743,Conduct Of Election Campaigns,324.7,1738,
1744,Historical And Geographic Treatment Of Elections,324.9,1738,
1745,International Migration & Colonization,325,1718,
1746,Slavery & Emancipation,326,1718,
1747,International Relations,327,1718,"1749,1748"
1748,General Topics Of International Relations; Spies,327.1,1747,
1749,Diplomacy,327.2,1747,
1750,The Legislative Process,328,1718,"1751,1752"
1751,Initiative And Referendum,328.2,1750,
1752,Legislative Bodies,328.3,1750,
1753,Economics,330,1673,"1756,1765,1772,1780,1781,1782,1786,1787,1797,2951"
1754,Systems And Theories,330.1,1753,
1755,Economic Situation And Conditions,330.9,1753,
1756,Labor Economics,331,1753,"1759,1758,1757,1764,1763,1762,1761,1760"
1757,Labor Force And Market,331.1,1756,
1758,Compensation And Other Conditions Of Employment,331.2,1756,
1759,Workers Of Specific Age Groups,331.3,1756,
1760,Women Workers,331.4,1756,
1761,Special Categories Of Workers Other Than By Age Or Sex,331.5,1756,
1762,"Categories Of Workers By Racial, Ethnic, National Origin",331.6,1756,
1763,Labor By Industry And Occupation,331.7,1756,
1764,"Labor Unions, Labor-Management Bargaining And Disputes",331.8,1756,
1765,Financial Economics,332,1753,"1771,1770,1769,1768,1767,1766"
1766,Banks And Banking,332.1,1765,
1767,Credit And Loan Institutions,332.3,1765,
1768,Money,332.4,1765,
1769,Stocks,332.6,1765,
1770,Credit,332.7,1765,
1771,Interest And Discount,332.8,1765,
1772,Economics Of Land & Energy,333,1753,"1779,1778,1777,1776,1775,1774,1773"
1773,Public Ownership And Control Of Land And Other Natural Resources,333.1,1772,
1774,Ownership And Control Of Land And Natural Resources By Nongovernmental Groups,333.2,1772,
1775,Individual (Private) Ownership And Control Of Land And Other Natural Resources,333.3,1772,
1776,Rental And Leasing Of Land And Other Natural Resources,333.5,1772,
1777,Natural Resources And Energy,333.7,1772,
1778,Subsurface Resources,333.8,1772,
1779,Other Natural Resources,333.9,1772,
1780,Cooperatives,334,1753,
1781,Socialism & Related Systems,335,1753,
1782,Public Finance,336,1753,"1783,1785,1784"
1783,Nontax Revenues,336.1,1782,
1784,Taxes And Taxation,336.2,1782,
1785,"Public Borrowing, Debt, Expenditure",336.3,1782,
1786,International Economics,337,1753,
1787,Production,338,1753,"1788,1789,1790,1791,1792,1793,1794,1795,1796"
1788,Agriculture,338.1,1787,
1789,Extraction Of Minerals,338.2,1787,
1790,Other Extractive Industries,338.3,1787,
1791,Secondary Industries And Services,338.4,1787,
1792,General Production Economics,338.5,1787,
1793,Organization Of Production,338.6,1787,
1794,Business Enterprises And Their Structure,338.7,1787,
1795,"Combinations, Trusts",338.8,1787,
1796,Economic Development And Growth,338.9,1787,
1797,Macroeconomics & Related Topics,339,1753,"1799,1798,1801,1800"
1798,Distribution Of Income And Wealth,339.2,1797,
1799,"National Product, Wealth, Income Accounts And Accounting",339.3,1797,
1800,"Factors Affecting National Product, Wealth, Income",339.4,1797,
1801,Macroeconomic Policy,339.5,1797,
1802,Law,340,1673,"1805,1811,1812,1813,1814,1815,1816,1817,1818,2952"
1803,Legal Systems,340.5,1802,
1804,Conflict Of Laws,340.9,1802,
1805,Law Of Nations,341,1802,"1810,1809,1808,1807,1806"
1806,Law Regarding Relations Between States,341.3,1805,
1807,Law Regarding Jurisdiction And Jurisdictional Relations Of States,341.4,1805,
1808,Law Of Disputes And Conflicts Between States,341.5,1805,
1809,Law Of War,341.6,1805,
1810,Law Of International Cooperation,341.7,1805,
1811,Constitutional & Administrative Law,342,1802,
1812,"Military, Tax, Trade & Industrial Law",343,1802,
1813,"Labor, Social, Education & Cultural Law",344,1802,
1814,Criminal Law,345,1802,
1815,Private Law,346,1802,
1816,Civil Procedure & Courts,347,1802,
1817,"Laws, Regulations & Cases",348,1802,
1818,Law Of Specific Jurisdictions & Areas,349,1802,
1819,Public Administration & Military Science,350,1673,"1820,1827,1836,1837,1838,1847,1848,1849,1852,2953"
1820,Public Administration,351,1819,"1823,1822,1821,1385,1826,1825,1824"
1821,Civil Service Examinations,351.3,1820,
1822,Government Work Force,351.4,1820,
1823,Pensions,351.5,1820,
1824,Civil Service System (Merit System),351.6,1820,
1825,Administration Of Specific Fields,351.8,1820,
1826,Malfunctioning Of Administration,351.9,1820,
1827,General Considerations Of Public Administration,352,1819,"1835,1834,1833,1832,1831,1830,1829,1828"
1828,Property And Financial Management And Related Topics,352.1,1827,
1829,Police,352.2,1827,
1830,Fire And Accident Protection,352.3,1827,
1831,Safeguarding Public Health,352.4,1827,
1832,Regulation And Control Of Public Buildings,352.5,1827,
1833,Environmental Sanitation And Related Activities,352.6,1827,
1834,Housing And Public Works,352.7,1827,
1835,Miscellaneous Fields,352.9,1827,
1836,Specific Fields Of Public Administration,353,1819,
1837,Administration Of Economy & Environment,354,1819,
1838,Military Science,355,1819,"1846,1845,1844,1843,1842,1841,1840,1839"
1839,Military Life And Customs,355.1,1838,
1840,Military Resources,355.2,1838,
1841,Organization And Personnel Of Military Forces,355.3,1838,
1842,Military Operations,355.4,1838,
1843,Military Training,355.5,1838,
1844,Military Administration,355.6,1838,
1845,Military Installations And Reservations,355.7,1838,
1846,Military Equipment And Supplies (Matériel),355.8,1838,
1847,Infantry Forces & Warfare,356,1819,
1848,Mounted Forces & Warfare,357,1819,
1849,Air & Other Specialized Forces,358,1819,"1851,1850"
1850,Guided Missile Forces And Warfare,358.1,1849,
1851,Air Forces And Warfare,358.4,1849,
1852,Sea Forces & Warfare,359,1819,"1853,1854,1855,1856,1857,1858,1859,1860,1861"
1853,Naval Life And Customs,359.1,1852,
1854,Naval Resources,359.2,1852,
1855,Organization And Personnel Of Naval Forces,359.3,1852,
1856,Naval Operations,359.4,1852,
1857,Naval Training,359.5,1852,
1858,Naval Administration,359.6,1852,
1859,Naval Installations And Reservations,359.7,1852,
1860,Naval Equipment And Supplies (Matériel),359.8,1852,
1861,Specialized Combat Forces; Engineering And Related Forces,359.9,1852,
1862,Social Problems & Social Services,360,1673,"1863,1864,1872,1876,1886,1893,1894,1895,1896,1897"
1863,Social Problems & Services; Associations,360,1862,
1864,Social Problems & Social Welfare In General,361,1862,"1871,1870,1869,1868,1867,1866,1865"
1865,Social Problems,361.1,1864,
1866,Social Action,361.2,1864,
1867,Social Work,361.3,1864,
1868,Group Work,361.4,1864,
1869,Governmental Action,361.6,1864,
1870,Private Action,361.7,1864,
1871,Community Action,361.8,1864,
1872,Social Welfare Problems & Services,362,1862,"1875,1874,1873"
1873,Physical Illness,362.1,1872,
1874,Mental And Emotional Illnesses And Disturbances,362.2,1872,
1875,Mental Retardation,362.3,1872,
1876,Other Social Problems & Services,363,1862,"1877,1878,1879,1880,1881,1882,1883,1884,1885"
1877,Public Safety Programs,363.1,1876,
1878,Policy Services,363.2,1876,
1879,Other Aspects Of Public Safety,363.3,1876,
1880,Controversies Related To Public Morals And Customs,363.4,1876,
1881,Housing,363.5,1876,
1882,Public Utilities And Related Services,363.6,1876,
1883,Environmental Problems And Services; Ecology; Pollution,363.7,1876,
1884,Food Supply,363.8,1876,
1885,Population Problems,363.9,1876,
1886,Criminology,364,1862,"1887,1892,1891,1890,1889,1888"
1887,Criminal Offenses,364.1,1886,
1888,Causes Of Crime And Delinquency,364.2,1886,
1889,Offenders,364.3,1886,
1890,Prevention Of Crime And Delinquency,364.4,1886,
1891,Penology,364.6,1886,
1892,Discharged Offenders,364.8,1886,
1893,Penal & Related Institutions,365,1862,
1894,Associations,366,1862,
1895,General Clubs,367,1862,
1896,Insurance,368,1862,
1897,Miscellaneous Kinds Of Associations,369,1862,
1898,Education,370,1673,"1919,1911,1901,2954,1926,1922,1921,1920"
1899,"Philosophy, Theories, General Aspects",370.1,1898,
1900,"Education, Research, Related Topics",370.7,1898,
1901,Schools & Their Activities; Special Education,371,1898,"1902,1903,1904,1905,1906,1907,1908,1909,1910"
1902,Teaching And Teaching Personnel,371.1,1901,
1903,School Administration And Management,371.2,1901,
1904,Methods Of Instruction And Study,371.3,1901,
1905,Guidance And Counseling,371.4,1901,
1906,School Discipline,371.5,1901,
1907,Physical Plant,371.6,1901,
1908,School Health And Safety,371.7,1901,
1909,The Student,371.8,1901,
1910,Special Education,371.9,1901,
1911,Elementary Education,372,1898,"1918,1917,1916,1915,1914,1913,1912"
1912,Organization And Management Of Elementary Schools; Curriculums,372.1,1911,
1913,Levels Of Elementary Education,372.2,1911,
1914,"Technology, Science, Health",372.3,1911,
1915,Reading,372.4,1911,
1916,Creative And Manual Arts,372.5,1911,
1917,"Language, Literature, Theater",372.6,1911,
1918,Mathematics,372.7,1911,
1919,Secondary Education,373,1898,
1920,Adult Education,374,1898,
1921,Curricula,375,1898,
1922,Higher Education,378,1898,"1925,1924,1923"
1923,Organization And Management; Curriculums,378.1,1922,
1924,Academic Degrees,378.2,1922,
1925,Student Finances,378.3,1922,
1926,Public Policy Issues In Education,379,1898,"1927,1929,1928"
1927,"Finance, Supervision, Control Of Public Education",379.1,1926,
1928,Public Education And The State,379.2,1926,
1929,Private Education And The State,379.3,1926,
1930,"Commerce, Communications & Transportation",380,1673,"1933,1934,1935,1940,1941,1942,1946,1951,2872,2955"
