498,praedetermino,v,v1spia--1-,praedetermin praedeterminau praedeterminat,,,[prae̯.deːˈtɛr.mɪ.noː],praedetermino,0
33604,33604,catalectus,a,aps---mn1-,catalect catalect catalect,,,[ka.t̪a.'lɛk.t̪ʊs],catalectus,0
33584,33584,chaerepolum,n,n-s---nn2-,chaerepol,,,[kʰaj.'rɛ.pɔ.ɫũː],chaerepolum,0
33569,33569,conrogo,v,v1spia--1-,conrog conrogau conrogat,,,[ˈkɔn.rɔ.ɡoː],conrogo,0
33609,33609,decumana,n,n-s---fn1-,decuman,,,[d̪ɛ.'kʊ.ma.n̪a],decumana,0
33551,33551,deliciae,n,n-p---fn1-,delici,,,[deːˈlɪ.ki.ae̯],deliciae,0
33576,33576,derectim,r,rp--------,,,,['d̪ɛ.rɛkt̪ĩː],derectim,0
33599,33599,dialectus,n,n-s---fn2-,dialect,,,[di.aˈɫɛk.tʊs],dialectus,0
33550,33550,hypocrita,n,n-s---mn1-,hypocrit,,,[hy.'pɔ.krɪ.t̪a],hypocrita,0
33573,33573,inmolaticius,a,aps---mn1-,inmolatici inmolatici inmolatici,,,[ɪ.n̪mɔ.la.'t̪ɪ.kɪ̣.jʊs],inmolaticius,0
33585,33585,inoboedienter,r,rp--------,,,,[ɪ.n̪ɔboj.d̪ɪ̣.'jɛn̪.t̪ɛr],inoboedienter,0
33618,33618,lene,r,rp--------,nugacitat,,,['lɛ.n̪ɛ],lene,0
33580,33580,manifestatiue,r,rp--------,,,,[ma.n̪ɪ.fɛs.'t̪a.t̪ɪ.wɛ],manifestatiue,0
33568,33568,maumo,v,v1spia--1-,maum maumau maumat,,,['maw.mɔ],maumo,0
33560,33560,paritarius,a,aps---mn1-,paritari paritari paritari,,,[pa.rɪ.'t̪a.rɪ̣.jʊs],paritarius,0
33548,33548,paullum,r,rp--------,,,,['pawɫ.ɫũː],paullum,0
112561,112561,horda,n,n-s---fn1-,hord,,,['hɔr.d̪a],horda,0
112565,112565,hordicalia,n,n-p---nn3i,hordical,,,[hɔr.d̪ɪ.'ka.lɪ̣.ja],hordicalia,0
112566,112566,hordicidia,n,n-p---nn2-,hordicidi,,,[hɔr.d̪ɪ.'kɪ.d̪ɪ̣.ja],hordicidia,0
112569,112569,hordirius,a,aps---mn1-,hordiri hordiri hordiri,,,[hɔr.'d̪ɪ.rɪ̣.jʊs],hordirius,0
112572,112572,horismus,n,n-s---mn2-,horism,,,[hɔ.'rɪs.mʊs],horismus,0
112575,112575,hormenos,n,n-s---mn2g,hormen,,,['hɔr.mɛ.n̪ɔs],hormenos,0
112576,112576,horminalis,n,n-s---fn3i,horminal,,,[hɔr.'mɪ.n̪a.lɪs],horminalis,0
112578,112578,horno,r,rp--------,,,,['hɔr.n̪ɔ],horno,0
112579,112579,horologiaris,a,aps---cn3i,horologiar horologiar horologiar,,,[hɔ.rɔ.lɔ.'gɪ̣.ja.rɪs],horologiaris,0
112581,112581,horologicus,a,aps---mn1-,horologic horologic horologic,,,[hɔ.rɔ.'lɔ.gɪ.kʊs],horologicus,0
112586,112586,horoscopos,n,n-s---mn2g,horoscop,,,[hɔ.'rɔs.kɔ.pɔs],horoscopos,0
112669,h0682,hydraula,n,n-s---mn1-,hydraul,,28625,['hy.d̪ra.wla],hydraula,0
33561,33561,psyllium,n,n-s---nn2-,psylli,,,['psyɫ.lɪ̣.jũː],psyllium,0
112628,h0651,humator,n,n-s---mn3-,humator,,,['hʊ.ma.t̪ɔr],humator,0
33606,33606,ritualiter,r,rp--------,,,,[rɪ.t̪ʊ.'ja.lɪ.t̪ɛr],ritualiter,0
112629,112629,humatus,a,aps---mn1-,humat humat humat,,,['hʊ.ma.t̪ʊs],humatus,0
112630,112630,humecatio,n,n-s---fn3-,humecation,,,[hʊ.mɛ.'ka.t̪ɪ̣.jɔ],humecatio,0
112631,112631,humectatio,n,n-s---fn3-,humectation,,,[hʊ.mɛk.'t̪a.t̪ɪ̣.jɔ],humectatio,0
112632,112632,humefacio,v,v1spia--3i,humefac - humefact,,,[hʊ.mɛ.'fa.kɪ̣.jɔ],humefacio,0
112634,112634,humens,a,aps---an3i,hument hument hument,,,['hʊ.meːn̪s],humens,0
112636,112636,humerale,n,n-s---nn3i,humeral,,,[hʊ.'mɛ.ra.lɛ],humerale,0
112637,112637,humide,r,rp--------,,,,['hʊ.mɪ.d̪ɛ],humide,0
112638,112638,humido,v,v1spia--1-,humid humidau humidat,,,['hʊ.mɪ.d̪ɔ],humido,0
112639,112639,humidulus,a,aps---mn1-,humidul humidul humidul,,,[hʊ.'mɪ.d̪ʊ.lʊs],humidulus,0
112640,112640,humifer,a,aps---mn1r,humifer humifer humifer,,,['hʊ.mɪ.fɛr],humifer,0
112641,112641,humifico,v,v1spia--1-,humific - humificat,,,[hʊ.'mɪ.fɪ.kɔ],humifico,0
112642,112642,humificus,a,aps---mn1-,humific humific humific,,,[hʊ.'mɪ.fɪ.kʊs],humificus,0
112643,112643,humile,n,n-s---nn3i,humil,,,['hʊ.mɪ.lɛ],humile,0
112635,u0985,humeo,v,v1spia--2-,hum - -,,,['hʊ.mɛ̣.jɔ],humeo,0
112644,112644,humiliatus,a,aps---mn1-,humiliat humiliat humiliat,,,[hʊ.mɪ.'lɪ̣.ja.t̪ʊs],humiliatus,0
112649,112649,humorosus,a,aps---mn1-,humoros humoros humoros,,,[hʊ.'mɔ.rɔ.sʊs],humorosus,0
112652,112652,hyacinthizontes,n,n-s---mn3-,hyacinthizont,,,[hy.ja.kɪn̪.t̪ʰɪz.'zɔn̪.t̪ɛs],hyacinthizontes,0
112653,112653,hyacinthos,n,n-s---mn2g,hyacinth,,,[hy.ja.'kɪn̪.t̪ʰɔs],hyacinthos,0
112658,112658,hybridicus,a,aps---mn1-,hybridic hybridic hybridic,,,[hy.'brɪ.d̪ɪ.kʊs],hybridicus,0
112661,112661,hydragegos,n,n-s---fn2g,hydrageg,,,[hy.'d̪ra.gɛ.gɔs],hydragegos,0
112645,h0653,humilifico,v,v1spia--1-,humilific humilificau humilificat,,,[hʊ.mɪ.'lɪ.fɪ.kɔ],humilifico,0
112663,112663,hydragogos,n,n-s---fn2g,hydragog,,,[hy.'d̪ra.gɔ.gɔs],hydragogos,0
112665,112665,hydragogus,a,aps---mn1-,hydragog hydragog hydragog,,,['hy.d̪ra.gɔgʷs],hydragogus,0
112646,h0657,humilito,v,v1spia--1-,humilit humilitau humilitat,,,[hʊ.'mɪ.lɪ.t̪ɔ],humilito,0
112647,h0658,humilitudo,n,n-s---fn3-,humilitudin,,,[hʊ.mɪ.'lɪ.t̪ʊ.d̪ɔ],humilitudo,0
112666,112666,hydragonus,n,n-s---fn2-,hydragon,,,[hy.'d̪ra.gɔ.n̪ʊs],hydragonus,0
112671,112671,hydraulia,n,n-p---nn2-,hydrauli,,,[hy.'d̪ra.wlɪ̣.ja],hydraulia,0
112670,112670,hydraulia,n,n-s---fn1-,hydrauli,,,[hy.'d̪ra.wlɪ̣.ja],hydraulia,0
112650,h0662,hyacinthaeus,a,aps---mn1-,hyacinthae hyacinthae hyacinthae,,,['hy.ja.kɪn̪t̪ʰews],hyacinthaeus,0
112651,h0664,hyacinthizon,n,n-s---mn3i,hyacinthizont,,,[hy.ja.kɪn̪.'t̪ʰɪz.zɔn̪],hyacinthizon,0
112654,h0668,hyaenia,n,n-s---fn1-,hyaeni,,,[hy.'jaj.n̪ɪ̣.ja],hyaenia,0
112656,h9662,hyalinus,a,aps---mn1-,hyalin hyalin hyalin,,,[hy.'ja.lɪ.n̪ʊs],hyalinus,0
112657,h0671,hyalopyrrichum,n,n-s---nn2-,hyalopyrrich,,,[hy.ja.lɔ.'pyr.rɪ.kʰũː],hyalopyrrichum,0
112659,h0674,hydatis,n,n-s---fn3-,hydatid,,,['hy.d̪a.t̪ɪs],hydatis,0
112660,h0675,hyderos,n,n-s---mn2g,hyder,,,['hy.d̪ɛ.rɔs],hyderos,0
112672,112672,hydreum,n,n-s---nn2-,hydre,,,['hyd̪rewm],hydreum,0
112683,112683,hydrogonos,n,n-s---fn2g,hydrogon,,,[hy.'d̪rɔ.gɔ.n̪ɔs],hydrogonos,0
112664,h0679,hydragogos,a,aps---mn1g,hydragog hydragog hydragog,,,[hy.'d̪ra.gɔ.gɔs],hydragogos,0
112684,112684,hydrolapathon,n,n-s---nn2g,hydrolapath,,,[hy.d̪rɔ.'la.pa.t̪ʰɔn̪],hydrolapathon,0
112625,112625,hulcus,n,n-s---nn3-,hulcer,,,['hʊɫ.kʊs],hulcus,0
112667,h0680,hydraletes,n,n-s---mn1g,hydralet,,,[hy.'d̪ra.lɛ.t̪ɛs],hydraletes,0
112668,h9682,hydrastina,n,n-s---fn1-,hydrastin,,,[hy.'d̪ra.st̪ɪ.n̪a],hydrastina,0
112673,h0688,hydreuma,n,n-s---nn3-,hydreumat,,,['hyd̪rew.ma],hydreuma,0
112674,h0689,hydreus,a,aps---mn1-,hydre hydre hydre,,,['hyd̪rews],hydreus,0
112677,h0693,hydrocele,n,n-s---fn1g,hydrocel,,,[hy.'d̪rɔ.kɛ.lɛ],hydrocele,0
112678,h0694,hydrocelicus,n,n-s---mn2-,hydrocelic,,,[hy.d̪rɔ.'kɛ.lɪ.kʊs],hydrocelicus,0
112679,h0695,hydrochoos,n,n-s---mn2g,hydrocho,,,[hy.'d̪rɔ.kʰɔ.jɔs],hydrochoos,0
112680,h0697,hydrogaratus,a,aps---mn1-,hydrogarat hydrogarat hydrogarat,,,[hy.d̪rɔ.'ga.ra.t̪ʊs],hydrogaratus,0
112681,h0696,hydrogarum,n,n-s---nn2-,hydrogar,,,[hy.'d̪rɔ.ga.rũː],hydrogarum,0
112686,h0700,hydromantia,n,n-s---fn1-,hydromanti,,,[hy.d̪rɔ.'ma.n̪t̪ɪ̣.ja],hydromantia,0
112687,h0701,hydromantis,n,n-s---mn3i,hydromant,,,[hy.'d̪rɔ.ma.n̪t̪ɪs],hydromantis,0
112733,h0754,hypericum,n,n-s---nn2-,hyperic,,28626,[hy.'pɛ.rɪ.kũː],hypericum,0
112691,h0705,hydrophobus,a,aps---mn1-,hydrophob hydrophob hydrophob,,,[hy.'d̪rɔ.pʰɔ.bʊs],hydrophobus,0
112692,h0706,hydrophylax,n,n-s---mn3-,hydrophylac,,,[hy.'d̪rɔ.pʰy.laks],hydrophylax,0
112694,h0708,hydropisis,n,n-s---fn3i,hydropis,,,[hy.'d̪rɔ.pɪ.sɪs],hydropisis,0
33589,33589,scaciludium,n,n-s---nn2-,scaciludi,,,[ska.kɪ.'lʊ.d̪ɪ̣.jũː],scaciludium,0
112695,h0709,hydropismus,n,n-s---mn2-,hydropism,,,[hy.'d̪rɔ.pɪ.smʊs],hydropismus,0
33577,33577,sublimatio,n,n-s---fn3-,sublimation,,,[sʊ.blɪ.'ma.t̪ɪ̣.jɔ],sublimatio,0
112696,112696,hydros,n,n-s---mn2g,hydr,,,['hy.d̪rɔs],hydros,0
112698,h0713,hygra,n,n-s---fn1-,hygr,,,['hy.gra],hygra,0
112699,h0714,hygremplastrum,n,n-s---nn2-,hygremplastr,,,[hy.'grɛ.mpla.st̪rũː],hygremplastrum,0
112700,h0715,hygrophobia,n,n-s---fn1-,hygrophobi,,,[hy.grɔ.'pʰɔ.bɪ̣.ja],hygrophobia,0
112697,112697,hydroselinum,n,n-s---nn2-,hydroselin,,,[hy.d̪rɔ.'sɛ.lɪ.n̪ũː],hydroselinum,0
112701,h0717,hyle,n,n-s---fn1g,hyl,,,['hy.lɛ],hyle,0
112702,112702,hymenaeos,n,n-s---mn2g,hymenae,,,[hy.mɛ.'n̪aj.jɔs],hymenaeos,0
112704,112704,hymnifer,a,aps---mn1r,hymnifer hymnifer hymnifer,,,['hym.n̪ɪ.fɛr],hymnifer,0
112707,h0724,hymnio,v,v1spia--4-,hymn hymniu hymnit,,,['hym.n̪ɪ̣.jɔ],hymnio,0
112708,h0725,hymnisonus,a,aps---mn1-,hymnison hymnison hymnison,,,[hym.'n̪ɪ.sɔ.n̪ʊs],hymnisonus,0
112709,h0727,hymnodico,v,v1spia--3-,,,,[hym.'n̪ɔ.d̪ɪ.kɔ],hymnodico,0
112706,112706,hymnificus,a,aps---mn1-,hymnific hymnific hymnific,,,[hym.'n̪ɪ.fɪ.kʊs],hymnificus,0
112710,h0728,hymnodicus,a,aps---mn1-,hymnodic hymnodic hymnodic,,,[hym.'n̪ɔ.d̪ɪ.kʊs],hymnodicus,0
112712,112712,hyophthalmos,n,n-s---mn2g,hyophthalm,,,[hy.jɔpʰ.'t̪ʰaɫ.mɔs],hyophthalmos,0
112711,h0729,hymnologus,n,n-s---mn2-,hymnolog,,,['hym.n̪ɔ.lɔgʷs],hymnologus,0
112714,112714,hyosciamus,n,n-s---mn2-,hyosciam,,,[hy.jɔs.'kɪ̣.ja.mʊs],hyosciamus,0
112716,112716,hyoscyamum,n,n-s---nn2-,hyoscyam,,,[hy.jɔs.'ky.ja.mũː],hyoscyamum,0
112718,112718,hyosiris,n,n-s---fn3i,hyosir,,,[hy.'jɔ.sɪ.rɪs],hyosiris,0
112713,h0731,hyophthalmus,n,n-s---mn2-,hyophthalm,,,[hy.jɔpʰ.'t̪ʰaɫ.mʊs],hyophthalmus,0
112719,112719,hypaethra,n,n-p---nn2-,hypaethr,,,[hy.'paj.t̪ʰra],hypaethra,0
112717,h0734,hyoseris,n,n-s---fn3i,hyoser,,,[hy.'jɔ.sɛ.rɪs],hyoseris,0
112720,h0735,hypaethros,a,aps---mn1g,hypaethr hypaethr hypaethr,,,[hy.'paj.t̪ʰrɔs],hypaethros,0
112721,112721,hypaethros,n,n-s---mn2g,hypaethr,,,[hy.'paj.t̪ʰrɔs],hypaethros,0
112722,h0736,hypallage,n,n-s---fn1g,hypallag,,,[hy.'paɫ.la.gɛ],hypallage,0
112723,h0740,hypecoon,n,n-s---nn2g,hypeco,,,[hy.'pɛ.kɔ.jɔn̪],hypecoon,0
112732,112732,hypericon,n,n-s---nn2g,hyperic,,,[hy.'pɛ.rɪ.kɔn̪],hypericon,0
112724,h0741,hypelate,n,n-s---fn1g,hypelat,,,[hy.'pɛ.la.t̪ɛ],hypelate,0
112725,h0742,hypenemius,a,aps---mn1-,hypenemi hypenemi hypenemi,,,[hy.pɛ.'n̪ɛ.mɪ̣.jʊs],hypenemius,0
112726,h0743,hyperaeolius,a,aps---mn1-,hyperaeoli hyperaeoli hyperaeoli,,,[hy.pɛ.raj.'jɔ.lɪ̣.jʊs],hyperaeolius,0
112729,h0749,hypercatalectus,a,aps---mn1-,hypercatalect hypercatalect hypercatalect,,,[hy.pɛr.ka.t̪a.'lɛk.t̪ʊs],hypercatalectus,0
112730,h0751,hyperdorius,a,aps---mn1-,hyperdori hyperdori hyperdori,,,[hy.pɛr.'d̪ɔ.rɪ̣.jʊs],hyperdorius,0
112731,h0752,hyperiastius,a,aps---mn1-,hyperiasti hyperiasti hyperiasti,,,[hy.pɛ.rɪ̣.'jas.t̪ɪ̣.jʊs],hyperiastius,0
112735,h0756,hyperocha,n,n-s---fn1-,hyperoch,,,[hy.'pɛ.rɔ.kʰa],hyperocha,0
112736,h0757,hyperochius,a,aps---mn1-,hyperochi hyperochi hyperochi,,,[hy.pɛ.'rɔ.kʰɪ̣.jʊs],hyperochius,0
112737,h0758,hyperphrygius,a,aps---mn1-,hyperphrygi hyperphrygi hyperphrygi,,,[hy.pɛr.'pʰry.gɪ̣.jʊs],hyperphrygius,0
112738,h0759,hypersarcosis,n,n-s---fn3i,hypersarcos,,,[hy.pɛr.'sar.kɔ.sɪs],hypersarcosis,0
112740,h0761,hyphear,n,n-s---nn3i,hyphear,,,['hy.pʰɛ̣.jar],hyphear,0
112741,h0762,hyphen,n,n-s---nn--,-,,,['hy.pʰɛn̪],hyphen,0
112742,h0763,hypnale,n,n-s---fn1g,hypnal,,,['hyp.n̪a.lɛ],hypnale,0
112743,h0764,hypnotice,n,n-s---fn1g,hypnotic,,,[hyp.'n̪ɔ.t̪ɪ.kɛ],hypnotice,0
112688,112688,hydromantius,n,n-s---mn2-,hydromanti,,,[hy.d̪rɔ.'ma.n̪t̪ɪ̣.jʊs],hydromantius,0
112744,h0764,hypnoticus,a,aps---mn1-,hypnotic hypnotic hypnotic,,,[hyp.'n̪ɔ.t̪ɪ.kʊs],hypnoticus,0
112745,h0765,hypoaeolius,a,aps---mn1-,hypoaeoli hypoaeoli hypoaeoli,,,[hy.pɔ.jaj.'jɔ.lɪ̣.jʊs],hypoaeolius,0
112746,h0766,hypobasis,n,n-s---fn3i,hypobas,,,[hy.'pɔ.ba.sɪs],hypobasis,0
112748,h0770,hypocausis,n,n-s---fn3i,hypocaus,,,[hy.pɔ.'kaw.sɪs],hypocausis,0
112812,i0011,iactitator,n,n-s---mn3-,iactitator,,,[jak.'t̪ɪ.t̪a.t̪ɔr],iactitator,0
112752,h0774,hypochoeris,n,n-s---fn3-,hypochoerid,,,[hy.'pɔkʰoj.rɪs],hypochoeris,0
112754,h0880,hypochysis,n,n-s---fn3i,hypochys,,,[hy.'pɔ.kʰy.sɪs],hypochysis,0
112755,h0777,hypocisthis,n,n-s---fn3-,hypocisthid,,,[hy.pɔ.'kɪs.t̪ʰɪs],hypocisthis,0
112757,h0778,hypocoriasis,n,n-s---fn3i,hypocorias,,,[hy.pɔ.kɔ.'rɪ̣.ja.sɪs],hypocoriasis,0
33571,33571,telepathia,n,n-s---fn1-,telepathi,,,[t̪ɛ.lɛ.'pa.t̪ʰɪ̣.ja],telepathia,0
112758,h0779,hypocorisma,n,n-s---nn3-,hypocorismat,,,[hy.pɔ.kɔ.'rɪs.ma],hypocorisma,0
112759,h0780,hypocoristicos,r,rp--------,,,,[hy.pɔ.kɔ.'rɪs.t̪ɪ.kɔs],hypocoristicos,0
112756,112756,hypocistis,n,n-s---fn3-,hypocistid,,,[hy.pɔ.'kɪs.t̪ɪs],hypocistis,0
112761,h0786,hypodyma,n,n-s---nn3-,hypodymat,,,[hy.'pɔ.d̪y.ma],hypodyma,0
112760,112760,hypodromus,n,n-s---mn2-,hypodrom,,,[hy.'pɔ.d̪rɔ.mʊs],hypodromus,0
112764,h0790,hypoglossa,n,n-s---fn1-,hypogloss,,,[hy.'pɔ.glɔ.ssa],hypoglossa,0
112766,h0792,hypographum,n,n-s---nn2-,hypograph,,,[hy.'pɔ.gra.pʰũː],hypographum,0
112767,h0793,hypoiastius,a,aps---mn1-,hypoiasti hypoiasti hypoiasti,,,[hy.pɔj.'jas.t̪ɪ̣.jʊs],hypoiastius,0
112770,h0796,hypolysos,n,n-s---fn2g,hypolys,,,[hy.'pɔ.ly.sɔs],hypolysos,0
112762,112762,hypogaeos,a,aps---mn1g,hypogae hypogae hypogae,,,[hy.pɔ.'gaj.jɔs],hypogaeos,0
112771,h0797,hypomelis,n,n-s---fn3-,hypomelid,,,[hy.'pɔ.mɛ.lɪs],hypomelis,0
112769,112769,hypolydios,a,aps---mn1-,hypolydi hypolydi hypolydi,,,[hy.pɔ.'ly.d̪ɪ̣.jɔs],hypolydios,0
112773,h0799,hypomnematographus,n,n-s---mn2-,hypomnematograph,,,[hy.pɔm.n̪ɛ.ma.'t̪ɔ.gra.pʰʊs],hypomnematographus,0
112774,h0800,hypomochlion,n,n-s---nn2g,hypomochli,,,[hy.pɔ.'mɔ.kʰlɪ̣.jɔn̪],hypomochlion,0
112772,112772,hypomnemata,n,n-s---nn3-,hypomnemat,,,[hy.pɔm.'n̪ɛ.ma.t̪a],hypomnemata,0
112776,h0801,hypophora,n,n-s---fn1-,hypophor,,,[hy.'pɔ.pʰɔ.ra],hypophora,0
112777,h0803,hypopium,n,n-s---nn2-,hypopi,,,[hy.'pɔ.pɪ̣.jũː],hypopium,0
112775,112775,hypomone,n,n-s---fn1g,hypomon,,,[hy.'pɔ.mɔ.n̪ɛ],hypomone,0
112778,h0804,hypopodion,n,n-s---nn2g,hypopodi,,,[hy.pɔ.'pɔ.d̪ɪ̣.jɔn̪],hypopodion,0
112780,h0805,hypostasis,n,n-s---fn3i,hypostas,,,[hy.'pɔs.t̪a.sɪs],hypostasis,0
112779,112779,hypopodium,n,n-s---nn2-,hypopodi,,,[hy.pɔ.'pɔ.d̪ɪ̣.jũː],hypopodium,0
112782,h0808,hypotenusalis,a,aps---cn3i,hypotenusal hypotenusal hypotenusal,,,[hy.pɔ.t̪ɛ.'n̪ʊ.sa.lɪs],hypotenusalis,0
112784,h0811,hypotheticus,a,aps---mn1-,hypothetic hypothetic hypothetic,,,[hy.pɔ.'t̪ʰɛ.t̪ɪ.kʊs],hypotheticus,0
112786,h0814,hypotrimma,n,n-s---nn3-,hypotrimmat,,,[hy.'pɔ.t̪rɪ.mma],hypotrimma,0
112787,h0815,hypozeugma,n,n-s---nn3-,hypozeugmat,,,[hy.'pɔzew.gma],hypozeugma,0
112788,h0816,hypozeuxis,n,n-s---fn3i,hypozeux,,,[hy.'pɔzewk.sɪs],hypozeuxis,0
112790,h0818,hypsoma,n,n-s---nn3-,hypsomat,,,['hyp.sɔ.ma],hypsoma,0
112791,h0819,hysex,n,n-s---mn3-,hysic,,,['hy.sɛks],hysex,0
112792,h0820,hysicinus,a,aps---mn1-,hysicin hysicin hysicin,,,[hy.'sɪ.kɪ.n̪ʊs],hysicinus,0
112783,112783,hypothetici,n,n-p---mn2-,hypothetic,,,[hy.pɔ.'t̪ʰɛ.t̪ɪ.kɪ],hypothetici,0
112793,112793,hysopites,n,n-s---mn1g,hysopit,,,[hy.'sɔ.pɪ.t̪ɛs],hysopites,0
112794,h0822,hyssopites,n,n-s---mn1g,hyssopit,,,[hys.'sɔ.pɪ.t̪ɛs],hyssopites,0
112795,112795,hyssopus,n,n-s---fn2-,hyssop,,,['hys.sɔ.pʊs],hyssopus,0
112797,112797,hysterica,n,n-s---fn1-,hysteric,,,[hys.'t̪ɛ.rɪ.ka],hysterica,0
112796,h0824,hystera,n,n-s---fn1-,hyster,,,['hys.t̪ɛ.ra],hystera,0
112799,112799,hystricosus,a,aps---mn1-,hystricos hystricos hystricos,,,[hys.'t̪rɪ.kɔ.sʊs],hystricosus,0
112801,112801,iacea,n,n-s---fn1-,iace,,,['ja.kɛ̣.ja],iacea,0
112802,112802,iacens,a,aps---an3i,iacent iacent iacent,,,['ja.keːn̪s],iacens,0
112798,h0825,hystericus,a,aps---mn1-,hysteric hysteric hysteric,,,[hys.'t̪ɛ.rɪ.kʊs],hystericus,0
112803,112803,iaciturus,a,aps---mn1-,iacitur iacitur iacitur,,,[ja.'kɪ.t̪ʊ.rʊs],iaciturus,0
112806,112806,iactanticulus,n,n-s---mn2-,iactanticul,,,[jak.t̪an̪.'t̪ɪ.kʊ.lʊs],iactanticulus,0
112808,112808,iactatrix,n,n-s---fn3-,iactatric,,,['jak.t̪a.t̪rɪks],iactatrix,0
112809,112809,iactatus,a,aps---mn1-,iactat iactat iactat,,,['jak.t̪a.t̪ʊs],iactatus,0
112785,,hypotrachelion,n,n-s---nn2g,hypotracheli,,28627,[hy.pɔ.t̪ra.'kʰɛ.lɪ̣.jũː],hypotrachelion,0
112805,i0006,iactanticulus,a,aps---mn1-,iactanticul iactanticul iactanticul,,,[jak.t̪an̪.'t̪ɪ.kʊ.lʊs],iactanticulus,0
112807,i0008,iactator,n,n-s---mn3-,iactator,,,['jak.t̪a.t̪ɔr],iactator,0
112810,i0009,iactitabundus,a,aps---mn1-,iactitabund iactitabund iactitabund,,,[jak.t̪ɪ.t̪a.'bʊn̪.d̪ʊs],iactitabundus,0
112811,i0010,iactitatio,n,n-s---fn3-,iactitation,,,[jak.t̪ɪ.'t̪a.t̪ɪ̣.jɔ],iactitatio,0
112750,h0772,hypocaustus,a,aps---mn1-,hypocaust hypocaust hypocaust,,,[hy.pɔ.'kaws.t̪ʊs],hypocaustus,0
33661,33661,alucinatio,v,v1spid----,alucination,,,[a.lʊ.kɪ.'n̪a.t̪ɪ̣.jɔ],alucinatio,0
112815,112815,iactus,a,aps---mn1-,iact iact iact,,,['jak.t̪ʊs],iactus,0
112819,112819,iaculatus,a,aps---mn1-,iaculat iaculat iaculat,,,[ja.'kʊ.la.t̪ʊs],iaculatus,0
112817,i0016,iaculamentum,n,n-s---nn2-,iaculament,,,[ja.kʊ.la.'mɛn̪.t̪ũː],iaculamentum,0
112821,112821,iaculo,v,v1spia--1-,iacul iaculau iaculat,,,['ja.kʊ.lɔ],iaculo,0
112818,i0018,iaculatorius,a,aps---mn1-,iaculatori iaculatori iaculatori,,,[ja.kʊ.la.'t̪ɔ.rɪ̣.jʊs],iaculatorius,0
112823,112823,iambicinus,a,aps---mn1-,iambicin iambicin iambicin,,,[jam.'bɪ.kɪ.n̪ʊs],iambicinus,0
112826,112826,iamtum,r,rp--------,,,,['jam.t̪ũː],iamtum,0
112820,i9853,iaculatus,n,n-s---mn4-,iaculat,,,[ja.'kʊ.la.t̪ʊs],iaculatus,0
112827,112827,ianitos,n,n-s---mn3-,ianitor,,,['ja.n̪ɪ.t̪ɔs],ianitos,0
112828,112828,ianium,n,n-s---nn2-,iani,,,['ja.n̪ɪ̣.jũː],ianium,0
112830,112830,ianthina,n,n-p---nn2-,ianthin,,,['jan̪.t̪ʰɪ.n̪a],ianthina,0
112822,i0024,iambelegus,a,aps---mn1-,iambeleg iambeleg iambeleg,,,['jam.bɛ.lɛgʷs],iambelegus,0
112833,112833,ianto,v,v1spia--1-,iant iantau iantat,,,['jan̪.t̪ɔ],ianto,0
112824,i0026,iambicus,n,n-s---mn2-,iambic,,,['jam.bɪ.kʊs],iambicus,0
112834,112834,iasione,n,n-s---fn1g,iasion,,,[ja.'sɪ̣.jɔ.n̪ɛ],iasione,0
