-D.D.Eisenhower; ""How weary, flat, stale, and unprofitable / Seem to me all the uses of this world""-Shakespeare",
193168,01982621,a,10,"(of persons) dangerously reckless or violent as from urgency or despair; ""a desperate criminal""; ""taken hostage of desperate men""",2516
193176,01984023,a,10,"(baseball) having reached a base without being put out; ""the runner was called safe when the baseman dropped the ball""",2871
193274,02002399,a,10,"(informal) being satisfactory or in satisfactory condition; ""an all-right movie""; ""the passengers were shaken up but are all right""; ""is everything all right?""; ""everything's fine""; ""things are okay""; ""dinner and the movies had been fine""; ""nother minute I'd have been fine""",
193173,01983358,a,10,"fraught with danger: ""dangerous waters""; ""a parlous journey on stormy seas""; ""a perilous voyage across the Atlantic in a small boat""; ""the precarious life of an undersea diver""; ""dangerous surgery followed by a touch-and-go recovery""",
193268,02001229,a,10,"disdainfully or ironically humorous; scornful and mocking: ""his rebellion is the bitter, sardonic laughter of all great satirists""-Frank Schoenberner; ""a wry pleasure to be...reminded of all that one is missing""-Irwin Edman",
193189,01986273,a,10,"exactly alike; incapable of being perceived as different: ""rows of identical houses""; ""cars identical except for their license plates""; ""they wore indistinguishable hats""",2234
193201,01989085,a,10,"(often followed by ""from"") not alike; different in nature or quality; ""plants of several distinct types""; ""the word ""nationalism"" is used in at least two distinct senses""; ""gold is distinct from iron""; ""a tree related to but quite distinct from the European beech""; ""management had interests quite distinct from those of their employees""",2234
193185,01985190,a,10,"closely similar or comparable in kind or quality or quantity or degree: "" ""curtains the same color as the walls""; ""two girls of the same age""; ""mother and son have the same blue eyes""; ""animals of the same species""; ""the same rules as before""; ""two boxes having the same dimensions""; ""the same day next year""",2234
193188,01986163,a,10,"identically copied from an original: ""a duplicate key""",2234
193192,01986829,a,10,"unlike in nature or quality or form or degree: ""took different approaches to the problem""; ""came to a different conclusion""; ""different parts of the country""; ""on different sides of the issue""; ""this meeting was different from the earlier one""",2234
193195,01987834,a,10,"of many different kinds purposefully arranged but lacking any uniformity: ""assorted sizes""; ""his disguises are many and various""; ""various experiments have failed to disprove the theory""; ""cited various reasons for his behavior""",2234
193207,01990350,a,10,"same in identity: ""the same man I saw yesterday""; ""never wore the same dress twice""; ""this road is the same one we were on yesterday""; ""on the same side of the street""",
193217,01992864,a,10,"the other one of a complementary pair: ""the opposite sex""; ""the two chess kings are set up on squares of opposite colors""",
193222,01993830,a,10,"marked by correspondence or resemblance: ""similar food at similar prices""; ""problems similar to mine""; ""they wore similar coats""",2234
193224,01994404,a,10,"similar or correspondent in some respects though otherwise dissimilar: ""brains and computers are often considered analogous; ""surimi is marketed as analogous to crabmeat""",2234
193231,01995401,a,10,"not similar: ""a group of very dissimilar people""; ""a pump not dissimilar to those once found on every farm""; ""their understanding of the world is not so dissimilar from our own""; ""took different (or dissimilar) approaches to the problem""",2234
193237,01996819,a,10,"in a murderous frenzy as if possessed by a demon: ""the soldier was completely amuck""; ""berserk with grief""; ""a berserk worker smashing windows""",2232
193258,01999724,a,10,"dulled by surfeit: ""the amoral, jaded, bored upper classes""",
193261,02000077,a,10,"impossible to satiate or satisfy: ""an insatiable appetite""; ""an insatiable hunger for knowledge""",
193267,02001022,a,10,"harshly ironic or sinister: ""black humor""; ""a grim joke""; ""grim laughter""; ""fun ranging from slapstick clowning ... to savage mordant wit""",
193272,02001946,a,10,"giving satisfaction: ""satisfactory living conditions""; ""his grades were satisfactory""",
193215,01992464,a,10,"other than what is under consideration or implied: ""ask somebody else""; ""I don't know what else to do""; ""where else can we look?""",
193198,01988463,a,10,"characterized by opposite extremes; completely opposed: ""in diametric contradiction to his claims""; ""diametrical (or opposite) points of view""; ""opposite meanings""; ""extreme and indefensible polar positions""",2234
193218,01993040,a,10,"being directly across from each other; facing: ""And I on the opposite shore will be, ready to ride and spread the alarm""-Longfellow; ""we lived on opposite sides of the street""; ""at opposite poles""",
193209,01990838,a,10,"being the exact same one; not any other:; ""this is the identical room we stayed in before""; ""the themes of his stories are one and the same""; ""saw the selfsame quotation in two newspapers""; ""on this very spot""; ""the very thing he said yesterday""; ""the very man I want to see""",
193229,01995166,a,10,"(prefix) having some of the characteristics of; """"semi"" is a prefix meaning similar in the word ""semiofficial""""",
193797,02085834,a,10,"of a leaf shape; round, with the stem attached near the center of the lower surface rather than the margin, as a nasturtium leaf e.g.",2172
193277,02002953,a,10,"completely satisfactory: ""his smile said that everything was copacetic""; ""You had to be a good judge of what a man was like, and the English was copacetic""-John O'Hara",
193421,02025910,a,10,younger; lower in rank; shorter in length of tenure or service,1675
193423,02026384,a,10,"(British) of the younger of two boys with the same family name; ""Jones minor""",1675
193285,02004449,a,10,"capable of being scaled; possible to scale: ""the scalable slope of a mountain""",
193280,02003499,a,10,"not giving satisfaction: ""shops should take back unsatisfactory goods""; ""her performance proved to be unsatisfactory""; ""life is becoming increasingly unsatifactory""; ""our discussion was very unsatisfactory""",
193292,02005384,a,10,"characterized by diligent study and fondness for reading: ""a bookish farmer who always had a book in his pocket""; ""a quiet studious child""",
193304,02007200,a,10,"guided by or in accordance with conscience or sense of right and wrong: ""a conscientious decision to speak out about injustice""",
193308,02007854,a,10,"closed or secured with or as if with a seal: ""my lips are sealed""; ""the package is still sealed""; ""the premises are sealed""",
193312,02008485,a,10,"not yet opened or unsealed: ""unopened Christmas presents""",
193315,02008948,a,10,"established irrevocably: ""his fate is sealed""",
193319,02009478,a,10,"wrapped up or enclosed within a covering: ""the little packet enwrapped in a faded yellow envelope""",
193320,02009632,a,10,"not yet wrapped or having the wrapping removed: ""she faced a mountainous pile of presents still unwrapped""; ""the floor around the tree was littered with gifts already unwrapped""",
193333,02011581,a,10,"secret: ""keep it dark""; ""the dark mysteries of Africa and the fabled wonders of the East""",
193342,02013058,a,10,"not openly expressed: ""a sneaking suspicion""",
193343,02013171,a,10,"not concealed or hidden: ""her unconcealed hostility poisoned the atmosphere""; ""watched with unconcealed curiosity""",
193348,02014159,a,10,"covering or hiding: ""the concealing darkness""; ""concealing curtains prevented discovery""",
193359,02016268,a,10,"occurring between or among or common to different churches or denominations: ""interchurch aid""; ""interdenominational cooperation between Methodists and Presbyterians""",
193366,02017351,a,10,"free from danger or risk: ""secure from harm""; ""his fortune was secure""; ""made a secure place for himself in his field""",
193375,02018815,a,10,"safe for the storage of valuables: ""kept the deed in his safe-deposit box at the bank""",
193378,02019381,a,10,"beset with attackers or controversy or conflict: ""embattled troops""; ""an embattled governor""",
193382,02019914,a,10,"not likely to fail or give way: ""the lock was secure""; ""a secure foundation""; ""a secure hold on her wrist""",
193389,02020962,a,10,"not firm or secure: ""balancing three boxes in an uncertain pile""",
193391,02021265,a,10,"firmly fastened or secured against opening: ""windows and doors were all fast""; ""a locked closet""; ""left the house properly secured""",
193395,02021907,a,10,"not firmly fastened or secured: ""an unbarred door""; ""went through the unlatched gate into the street""; ""an unlocked room""",
193397,02022284,a,10,"covered by insurance: ""an insured risk""; ""all members of the film cast and crew are insured""",1896
193400,02022747,a,10,"highly attractive and able to arouse hope or desire: ""an alluring prospect""; ""her alluring smile""; ""the voice was low and beguiling""; ""difficult to say no to an enticing advertisement""; ""a tempting invitation""",
193412,02024585,a,10,"showing unselfish interest in the public welfare: ""a public-spirited citizen""",
193427,02027041,a,10,"typical of tabloids: ""sensational journalistic reportage of the scandal""; ""yellow journalism""",
193430,02027534,a,10,"able to feel or perceive: ""even amoeba are sensible creatures""; ""the more sensible parts of the skin""",
193434,02028356,a,10,"lacking sensation: ""my foot is asleep""; ""numb with cold""",
193354,02015189,a,10,"belonging to or characteristic of a sect: ""a sectarian mind""; ""the negations of sectarian ideology""-Sidney Hook; ""sectarian squabbles in psychology""",
193301,02006624,a,10,"having scruples; arising from a sense of right and wrong; principled: ""less scrupulous producers sent bundles that were deceptive in appearance""",
193334,02011721,a,10,"marked by quiet and caution and secrecy; taking pains to avoid being observed: ""a furtive manner""; ""a lurking prowler""; ""a sneak attack""; ""stealthy footsteps""; ""a surreptitious glance at his watch""; ""someone skulking in the shadows""",
193338,02012509,a,10,"waiting in concealment; in ambush: ""an army lying in wait in the forest""",
193341,02012899,a,10,"not open or public; kept private or not revealed: ""a secret formula""; ""secret ingredients""; ""secret talks""",
193345,02013697,a,10,"no longer concealed; uncovered as by opening a curtain: ""discovered"" is archaic and primarily a theater term; ""the scene disclosed was of a moonlit forest""",
193386,02020491,a,10,"not firm or firmly fixed; likely to fail or give way: ""the hinge is insecure""",
193416,02025056,a,10,"older; higher in rank; longer in length of tenure or service: ""senior officer""",1675
193803,02086641,a,10,(botany) especially of leaf shapes; composed of several similar parts or lobes,2172
193357,02015710,a,10,"not restricted to one sect or school or party: ""religious training in a nonsectarian atmosphere""; ""nonsectarian colleges""; ""a wide and unsectarian interest in religion""-Bertrand Russell",
193457,02032362,a,10,"(followed by ""to"") not showing human feeling or sensitivity; unresponsive; ""passersby were dead to our plea for help""; ""numb to the cries for mercy""",1502
193460,02032902,a,10,"(followed by ""to"" or ""by"") unaware of or indifferent to; ""insensible to the suffering around him""",1502
193483,02036731,a,10,"marked by separation of or from usually contiguous elements: ""little isolated worlds, as abruptly disjunct and unexpected as a palm-shaded well in the Sahara""-Scientific Monthly",
193437,02029007,a,10,"of an instrument or device; capable of registering minute differences or changes precisely: ""almost undetectable with even the most delicate instruments""",2097
193542,02047265,a,10,"playfully vexing (especially by ridicule); ""his face wore a somewhat quizzical almost impertinent air""-Lawrence Durrell",1502
193440,02029415,a,10,"readily affected by various agents: ""a highly sensitive explosive is easily exploded by a shock""; ""a sensitive colloid is readily coagulated""",2097
193450,02031043,a,10,"having acute mental or emotional sensibility: ""sensitive to the local community and its needs""",1502
193472,02034589,a,10,"sent or carried from one place to another: ""during battle, messages conveyed by carrier pigeon got through more often than those sent by plane""",
193475,02035072,a,10,"not dispatched or transmitted: ""the letter remained unwritten and unsent""",
193488,02037695,a,10,"involving the joint activity of two or more: ""the attack was met by the combined strength of two divisions""; ""concerted action""; ""the conjunct influence of fire and strong dring""; ""the conjunctive focus of political opposition""; ""a cooperative effort""; ""a united effort""; ""joint military activities""",
193493,02038722,a,10,"free from filth and pathogens: ""sanitary conditions for preparing food""; ""a sanitary washroom""",
193495,02039105,a,10,"not sanitary or healthful: ""unsanitary open sewers""; ""grim and unsanitary conditions""",
193506,02041174,a,10,"free of or using methods to keep free of pathological microorganisms: ""a sterile operating area""; ""aseptic surgical instruments""; ""aseptic surgical techniques""",
193514,02042335,a,10,"full of germs or pathological microorganisms: ""the water in New York harbor is oily and dirty and germy""",2158
193518,02043008,a,10,"freeing from noxious matter: ""filtration is a purifying agent""",
193524,02044251,a,10,"dignified and somber in manner or character: ""a grave God-fearing man""; ""a quiet sedate nature""; ""sober as a judge""; ""the judge was solemn as he pronounced sentence""",
193527,02044790,a,10,"acting with or showing thought and good sense: ""a sensible young man""",
193537,02046476,a,10,"given to merry frolicking: ""frolicsome students celebrated their graduation with parties and practical jokes""",1502
193546,02047878,a,10,"preferred above all others: ""the chosen few""; ""her chosen abode""",
193547,02047995,a,10,"selected or named for a duty: ""designated hitter""",
193552,02048503,a,10,"ready for service or able to give long service: ""serviceable equipment""; ""heavy serviceable fabrics""",2401
193556,02049113,a,10,"fit or ready for use or service: ""the toaster was still functional even after being dropped""; ""the lawnmower is a bit rusty but still usable""; ""an operational aircraft""; ""the dishwasher is now in wording order""",
193564,02050469,a,10,"in good or usable condition: ""put the old car back in condition""",
193569,02051067,a,10,"not living in a particular place or owned by permanent residents: ""nonresident students who commute to classes""; ""nonresident real estate""",
193579,02052669,a,10,"not settled or established: ""an unsettled lifestyle""",
193580,02052939,a,10,"continually changing especially as from one abode or occupation to another: ""a drifting double-dealer""; ""the floating population""; ""vagrant hippies of the sixties""",
193477,02035663,a,10,"taken out of or separated from: ""possibility is...achievability, abstracted from achievement""-A.N.Whitehead",
193447,02030488,a,10,"devoid of physical sensation; numb: ""his gums were dead from the novocain""; ""she felt no discomfort as the dentist drilled her deadened tooth""; ""a public desensitized by continuous television coverage of atrocities""",2097
193455,02031792,a,10,"deficient in human sensibility; not mentally or morally sensitive: ""insensitive to the needs of the patients""",1502
193530,02045369,a,10,"lacking seriousness; given to frivolity: ""a dizzy blonde""; ""light-headed teenagers""; ""silly giggles""",
193534,02045934,a,10,"intended primarily as entertainment; not serious or profound: ""light verse""; ""a light comedy""",2234
193572,02051530,a,10,"established in a desired position or place; not moving about: ""nomads...absorbed among the settled people""; ""settled areas""; ""I don't feel entirely settled here""; ""the advent of settled civilization""",
193497,02039442,a,10,"containing or resulting from disease-causing organisms; ""a septic sore throat""; ""a septic environment""; ""septic sewage""",
193502,02040306,a,10,"caused by infection or capable of causing infection; viruses and other infective agents""; ""a carrier remains infective without himself showing signs of the disease""",
193478,02035838,a,10,"having characteristics not shared by others: ""scientists felt they were a group apart""-Vannever Bush",
193584,02053720,a,10,"(of groups of people) tending to travel and change settlements frequently; ""a restless mobile society""; ""the nomadic habits of the Bedouins""; ""believed the profession of a peregrine typist would have a happy future""; ""wandering tribes""",1675
193611,02058577,a,10,"(of a glance) sidelong and slyly lascivious; ""leering drugstore cowboys""",
193599,02056204,a,10,"not brought to a conclusion; subject to further thought: ""an open question""; ""our position on this bill is still undecided""; ""our lawsuit is still undetermined""",
193591,02054813,a,10,"established or decided beyond dispute or doubt: ""with details of the wedding settled she could now sleep at night""",
193594,02055444,a,10,"determined or decided upon as by an authority: ""date and place are already determined""; ""the dictated terms of surrender""; ""the time set for the launching""",
193598,02056073,a,10,"unsettled in mind or opinion: ""drew a few tentative conclusions""",
193612,02058703,a,10,"characterized by lust: ""eluding the lubricious embraces of her employer""; ""her sensuous grace roused his lustful nature""; ""prurient literature""; ""prurient thoughts""; ""a salacious rooster of a little man""",
193615,02059195,a,10,"designed to arouse lust: ""pornographic films and magazines""",
193616,02059313,a,10,"exciting sexual desire: ""her gestures and postures became more wanton and provocative""",
193627,02060550,a,10,"not having or involving sex: ""an asexual spore""; ""asexual reproduction""","1703,2234"
193648,02063638,a,10,"knitted to fit the shape of the body: ""full-fashioned hosiery""",
193655,02064815,a,10,"having abnormal size with overgrown extremities resulting from abnormal pituitary secretion: ""a protruding acromegalic jaw""; ""a pituitary dwarf""",
193658,02065259,a,10,"so badly formed or out of shape as to be ugly: ""deformed thalidomide babies""; ""his poor distorted limbs""; ""an ill-shapen vase""; ""a limp caused by a malformed foot""; ""misshapen old fingers""",
193685,02069097,a,10,"having no definite form or distinct shape: ""amorphous clouds of insects""; ""an aggregate of formless particles""; ""a shapeless mass of protoplasm""",
193689,02069778,a,10,"affecting or involving two or more: ""joint income-tax return""; ""joint ownership""",
193692,02070218,a,10,"characteristic of or meant for a single person or thing: ""an individual serving""; ""separate rooms""; ""single occupancy""; ""a single bed""",
193707,02072380,a,10,"not having a protective covering: ""unsheathed cables""; ""a bare blade""",
193716,02073478,a,10,"shod or cased with iron: ""ironshod hooves""; ""ironshod wheels""",
193749,02077693,a,10,"having a handwritten signature: ""a signed letter""",
193753,02078228,a,10,"important in effect or meaning: ""a significant change in tax laws""; ""a significant change in the Constitution""; ""a significant contribution""; ""significant details""; ""statistically significant""",2234
193756,02079169,a,10,"sufficiently significant to affect the whole world: ""earthshaking proposals""; ""the contest was no world-shaking affair""; ""the conversation...could hardly be called world-shattering""",2234
193762,02080535,a,10,"worthy of notice: ""a noteworthy fact is that her students rarely complain""; ""a remarkable achievement""",2234
193769,02081729,a,10,"of little substance or significance: ""a few superficial editorial changes""; ""only trivial objections""",2234
193741,02076589,a,10,"having vision overcome temporarily by or as if by intense light: ""she shut her dazzled eyes against the sun's brilliance""",
193609,02058239,a,10,"driven by lust; preoccupied with or exhibiting lustful desires: ""libidinous orgies""",
193667,02066576,a,10,"having a bosom as specified or having something likened to a bosom; usually used in compounds: ""full-bosomed women""; ""the green-bosomed earth""",
193642,02062510,a,10,"(of lower mammals) not in a state of estrus; not in heat; ""an anestrous bitch""",2188
193651,02064112,a,10,"(used of noses) turned up at the end; ""a retrousse nose""; ""a small upturned nose""",
193679,02068202,a,10,"(of plans, ideas, etc.) perfectly formed; ""a graceful but not yet fully perfected literary style""",
193681,02068438,a,10,of structural members especially of concrete; cast into form before being transported to the site of installation,
193724,02074367,a,10,"(used of certain religious orders) barefoot or wearing only sandals; ""discalced friars""",1565
193751,02077951,a,10,"(of a contract or will or other document) having a signature written at the end; ""the subscribed will""",1802
193758,02079609,a,10,"far-reaching and thoroughgoing in effect especially on the nature of something; ""the fundamental revolution in human values that has occurred""; ""the book underwent fundamental changes""; ""committed the fundamental error of confusing spending with extravagance""; ""profound social changes""",2234
193770,02081898,a,10,"(statistics) too closely correlated to be attributed to chance and therefore indicating a systematic relation; ""the interaction effect is significant at the .01 level""; ""no significant difference was found""",2075
193782,02083974,a,10,"of a leaf shape; suggesting a capital delta, with a point at the apex",2172
193786,02084500,a,10,"of a leaf shape; like a spear point, with flaring pointed lobes at the base",2172
193764,02080828,a,10,"of momentous or ominous significance: ""such a portentous...monster raised all my curiosity""-Herman Melville; ""a prodigious vision""",2234
193865,02097523,a,10,"a grammatical number category referring to two items or units (as opposed to one item (singular) or more than one item (plural)); ""ancient Greek had the dual form but it has merged with the plural form in modern Greek""",
193909,02103122,a,10,"(in Roman numerals; M written with a macron over it) denoting a quantity consisting of 1,000,000 items or units",1467
193979,02114682,a,10,"having more than one decidedly dissimilar aspects or qualities: ""a double (or dual) role for an actor""; ""the office of a clergyman is twofold; public preaching and private influence""-R.W.Emerson; ""every episode has its double and treble meaning""-Frederick Harrison",
193836,02091753,a,10,"complicated in structure; consisting of interconnected parts: ""a complex set of variations based on a simple folk melody""; ""a complex mass of diverse laws and customs""",2234
193829,02090222,a,10,"not complex or complicated or involved: ""a simple problem""; ""simple mechanisms""; ""a simple design""",2234
193846,02093930,a,10,"having many parts or aspects: ""the multiplex problem of drug abuse""",2234
193854,02095346,a,10,"with unconditional and enthusiastic devotion: ""heart-whole friendship""; ""gave wholehearted support to her candidacy""; ""wholehearted commitment""; ""demonstrated his whole-souled allegiance""",2234
193857,02096184,a,10,"unpleasantly and excessively suave or ingratiating in manner or speech: ""buttery praise""; ""gave him a fulsome introduction""; ""an oily sycophantic press agent""; ""oleaginous hypocrisy""; ""smarmy self-importance""; ""the unctuous Uriah Heep""",2234
193918,02105183,a,10,"coming next after the third and just before the fifth in position or time or degree or magnitude: ""the quaternary period of geologic time extends from the end of the tertiary period to the present""",1467
193959,02110031,a,10,"not furnished with or using a script: ""unrehearsed and unscript spot interviews""; ""unscripted talk shows""",
193960,02110211,a,10,"said or done without having been planned or written in advance: ""he made a few ad-lib remarks""",
193963,02110583,a,10,"existing alone or consisting of one entity or part or aspect or individual: ""upon the hill stood a single tower""; ""had but a single thought which was to escape""; ""a single survivor""; ""a single serving""; ""a single lens""; ""a single thickness""",
193966,02111444,a,10,"designed for or restricted to a single person: ""a one-man show""; ""a one-person tent""",
193971,02112575,a,10,"consisting of or involving a single element or component: ""in a unary operation in a mathematical system one element is used to yield a single result""",
193973,02112966,a,10,"having or involving or consisting of more than one part or entity or individual: ""multiple birth""; ""multiple ownership""; ""made multiple copies of the speech""; ""his multiple achievements in public life""; ""her multiple personalities""; ""a pineapple is a multiple fruit""",
193978,02114353,a,10,"consisting of or involving two parts or components usually in pairs: ""an egg with a double yolk""; ""a double (binary) star""; ""double doors""; ""dual controls for pilot and copilot""; ""duple (or double) time consists of two (or a multiple of two) beats to a measure""",
193984,02115749,a,10,"having three units or components or elements: ""a ternary operation""; ""a treble row of red beads""; ""overcrowding made triple sessions necessary""; ""triple time has three beats per measure""; ""triplex windows""",
193987,02116333,a,10,"four times as great or many: ""a fourfold increase in the dosage""",
194016,02120169,a,10,"not having the surface treated or coated with sizing: ""unsized paper""",
194331,02172017,a,10,"called forth from a latent or potential state by stimulation: ""evoked potentials""; ""an elicited response""",
193830,02090553,a,10,"being the ultimate or elemental constituents of anything: ""the elemental stuff of...out of which the many forms of life have been molded""-Jack London; ""the ultimate ingredients of matter""",2234
193848,02094165,a,10,"open and genuine; not deceitful: ""he was a good man, decent and sincere""; ""felt sincere regret that they were leaving""; ""sincere friendship""",2234
193852,02095053,a,10,"without dissimulation; frank: ""my honest opinion""",2234
193861,02096914,a,10,"based on pretense; deceptively pleasing: ""the gilded and perfumed but inwardly rotten nobility""; ""meretricious praise""; ""a meretricious argument""",2234
193967,02111616,a,10,"being the only one; single and isolated from others: ""the lone doctor in the entire county""; ""a lonesome pine""; ""an only child""; ""the sole heir""; ""the sole example""; ""a solitary instance of cowardice""; ""a solitary speck in the sky""",
193910,02103299,a,10,(U.S.) denoting a quantity consisting of one thousand million items or units; (Britain) denoting a quantity consisting of one million million items or units,1467
193996,02117369,a,10,"(botany; of flowers) having more than the usual number of petals in crowded or overlapping arrangements; ""double chrysanthemums have many rows of petals and are usually spherical or hemispherical""",2172
193997,02117618,a,10,"(botany; of flowers) having usually only one row or whorl of petals; ""single chrysanthemums resemble daisies and may have more than one row of petals""",2172
194000,02118206,a,10,(of roads) having a single lane for traffic in both directions; when vehicles meet one must pull off the road to let the other pass,1707
193834,02091259,a,10,"representing the furthest possible extent of analysis or division into parts: ""a feeling is a simple and undecomposable mental state""-G.S.Brett; ""this weight of evidence is something mystical and unanalyzable""-M.R.Cohen",2234
194023,02121980,a,10,"(informal) marked by great skill or facility; ""cool maneuvers on the parallel bars""",
194030,02123040,a,10,"having acquired necessary skills by e.g. undergoing a course of study; ""a trained nurse""; ""a trained voice""; ""trained manpower""; ""psychologically trained workers""",
194050,02126607,a,10,"(of textures) full of small openings or gaps; ""an open texture""; ""a loose weave""",2234
194019,02120998,a,10,"having or showing knowledge and skill and aptitude: ""adept in handicrafts""; ""an adept juggler""; ""an expert job""; ""a good mechanic""; ""a practiced marksman""; ""a proficient engineer""; ""a lesser-known but no less skillful composer""; ""the effect was achieved by skillful retouching""",
194025,02122255,a,10,"superior in skill or ability or accomplishment: ""a fine violinist""; ""a fine athlete""; ""a fine mind""; ""the scupture showed the fine hand of a master""; ""a fine performance""",
194032,02123410,a,10,"not having or showing or requiring special skill or proficiency: ""unskilled in the art of rhetoric""; ""an enthusiastic but unskillful mountain climber""; ""unskilled labor""; ""workers in unskilled occupations are finding fewer and fewer job opportunities""; ""unskilled workmanship""",
194043,02125330,a,10,"relating to or having facility in the use of words: ""a good poet is a verbal artist""; ""a merely verbal writer who sacrifices content to sound""; ""verbal aptitude""",
194047,02126167,a,10,"not having a fine texture: ""coarse-grained wood""",2234
194056,02127826,a,10,"have fine or very small constituent particles: ""a small misty rain""",2234
194058,02128073,a,10,"marked by or emitting or filled with smoke: ""smoky rafters""; ""smoky chimneys""; ""a smoky fireplace""; ""a smoky corridor""",
194064,02128891,a,10,"being such as to cause things to slip or slide: ""slippery sidewalks""; ""a slippery bar of soap""; ""the streets are still slippy from the rain""",
194071,02130143,a,10,"having a slippery surface or quality : ""slithery mud""; ""slithery eels""",
194077,02130839,a,10,"having a surface free from roughness or bumps or ridges or irregularities: ""smooth skin""; ""a smooth tabletop""; ""smooth fabric""; ""a smooth road""; ""water as smooth as a mirror""",
194087,02132734,a,10,"having or caused by an irregular surface: ""trees with rough bark""; ""rough ground""; ""a rough ride""; ""rough skin""; ""rough blankets""; ""his unsmooth face""; ""unsmooth writing""",
