070,a,9,"whichever, whichsoever (of two)",
206808,L6619896,n,9,a lantern-bearer,2516
206809,L5438153,a,9,of or belonging to a public crier,1820
206810,L7259259,n,9,opposition between two conflicting laws,1802
206812,L6674382,a,9,having one hundred units or components or elements,1467
206814,L7695515,n,9,a medicine made of five ingredients,2232
206816,L9811428,a,9,deserving to be defiled,
206817,L7262259,a,9,"commendatory, serving for commendation",
206818,L8468699,r,9,"athletically, in the manner of an athlete",2638
206819,L6930639,a,9,pertaining to a temple,1666
206820,L1475908,v,9,set sail on a ship,1945
206821,L6681955,n,9,a baker of white bread,1884
206822,L9678317,a,9,suffering from gout of the hand,2232
206823,L3862856,n,9,a small sea-fish of inferior quality,2204
206825,L5383819,a,9,relating to a signet-ring,
206833,L8166420,n,9,a corn-measure,1788
206835,L2048940,a,9,prepared with beans,2358
206842,L8016810,n,9,"soft, splendid, transparent garments",2413
206843,L1695950,a,9,made of or resembling reeds,2172
206849,L8979030,n,9,office or position of a deacon,
206863,L2624120,n,9,a kind of bulbous plant,2172
206866,L5190890,a,9,"of Chalcedon, Chalcedonian",
206827,L2619751,n,9,a space delimited by the physical act of drawing lines,1462
206828,L1894395,n,9,a person who abandons,1802
206829,L6893282,n,9,the act of cleaning and disentangling raw wool,2401
206830,L9945509,a,9,capable of being placated or appeased,
206831,L4705773,a,9,not brought into existence by the process of reproduction,1608
206832,L7104739,n,9,the heat of late summer,
206834,L6913380,n,9,money for paper,1931
206836,L7058793,r,9,in the form of an arch,2446
206837,L2219843,n,9,the quality of having a double shape,
206838,L6974922,a,9,holding the measure of a congius,
206840,L8839301,n,9,a religious congregation with the authority to subsume others,1565
206841,L8944460,n,9,she who defends,
206844,L1407029,a,9,once and a half,
206845,L5931531,n,9,a soldier of the fourteenth legion,1841
206846,L6885971,n,9,a woman who performs fellatio,
206847,L9716608,n,9,"a species of woolly thistle with a spiny stem and long, sharp flower head, closely related to the safflower (Carthamus lanatus)",2172
206848,L9720034,n,9,a person who praises warmly,
206850,L8240447,n,9,strength in arms,1838
206851,L3402424,n,9,a salve made from the herb glaucium,2232
206852,L4346258,n,9,the (bluish) plant celandine (Chelidonium glaucium),2172
206853,L1510045,n,9,"the daughter of a great-grandchild, great-great-granddaughter",1704
206854,L7489850,n,9,a crystalline vase,
206855,L5552159,n,9,"she that salutes, visits, or pays court to",
206856,L4289843,a,9,of or around the forum or market-place,1930
206857,L5837659,a,9,that attends markets,2872
206858,L2619609,n,9,an unidentified species of fish,2188
206859,L9828691,n,9,a measure of arable land,1788
206860,L8608084,a,9,kept in a cave or cellar,
206861,L9760504,v,9,"agree to a precondition, join in a stipulation with",1802
206862,L8743137,n,9,an oak-forest,2333
206864,L5712329,n,9,a metrical foot consisting of three long syllables,"2738,2749"
206865,L3172500,a,9,"of or belonging to the Molossi, Molossian",
206867,L2112860,n,9,the superintendent of a reservoir,2308
206868,L3686494,n,9,a female fellow slave,
206869,L2453895,n,9,a person who reviles or harangues,
206871,L5483000,n,9,"a female companion, consort",
206872,L2996479,n,9,the five principal men in a city,1820
206873,L7944623,a,9,"belonging to an inn or lodging-place, fit to lodge in",
206874,L3323561,a,9,of or belonging to a step-mother,1704
206875,L4066562,n,9,a pulling together,
206876,L9201389,n,9,a person who tears off,
206877,L7404462,a,9,that causes a curse,
206878,L6567468,n,9,an assistant to the chief steward of a household,2373
206879,L9241928,n,9,a granddaughter of a great-grandchild,1704
206880,L6252966,a,9,"enharmonic, the technical name in Greek music of a kind of melody, in which quarter-tones predominated",2536
206881,L3510487,a,9,fitted with a harness,
206882,L1799944,n,9,one who marks out the bounds,
206883,L6737866,n,9,a thicket of thistles,2172
206885,L8699048,a,9,struck by lightning,2127
206886,L1712360,r,9,in the prescribed manner,
206887,L1756261,a,9,"of what number, how many?",
206888,L8432824,a,9,twenty each,1467
206889,L6543929,v,9,"it is pleasing, agreeable",
206890,L6146004,n,9,meat of the wild boar,2354
206891,L3191188,v,9,have many or too many items of business to attend to,
206892,L2817720,v,9,accept as security or collateral,
206893,L7343126,a,9,not unlike,
206894,L2899719,n,9,a female drinking companion,2620
206895,L8104470,a,9,made of consisting of (entirely or in part) of maple wood,2420
206896,L3786588,n,9,an imaginary magical condiment,
206897,L5078469,n,9,meat of the wild goat,2354
206935,L8964509,n,9,"Acis, one of the Cyclades",2775
206900,L3397397,a,9,"of Abaris, a place in Africa",2775
206901,L2018795,n,9,"a rocky island in the Nile, not far from Philae, to which the priests only had access",2775
206902,L1558345,n,9,a town in Phrygia,2775
206904,L1833040,n,9,inhabitants of Abea in Achaia,1696
206905,L8981080,n,9,son of Adam,
206906,L4090262,n,9,"a town in Campania, near Nola, abounding in fruit-trees and nuts, now Avella",2775
206907,L4551131,n,9,"a city of the Hirpini, in Italy",2775
206908,L9627860,n,9,"a mountain range in Germany, the northern part of the Black Forest, in which the Danube rises",2775
206909,L3261000,n,9,a river in Illyria which flows into the Adriatic Sea,2775
206910,L4288250,n,9,"a town in Mysia, on the narrowest point of the Hellespont",2775
206911,L4604128,a,9,of or belonging to Abydus,
206912,L3770945,n,9,a son of Theseus and Phoedra,
206913,L7747733,a,9,"from Acanthus, a town in Macedonia",2775
206914,L8996942,n,9,"a town of Macedonia, now Erisso",2775
206915,L5956210,n,9,"Acarnania, the most westerly province of Greece",2775
206916,L9480191,n,9,"son of Pelias, king of Thessaly, husband of Astydamia or Cretheis, and father of Laodamia",
206917,L2452582,n,9,a town of Apulia,2775
206918,L3393749,n,9,a town in the interior of Campania,2775
206919,L9639502,a,9,or or belonging to Acerrae,
206920,L5741150,n,9,"a town in Umbria, now Gerrha",2775
206921,L6965197,a,9,"Persian, Parthian",
206922,L7349734,a,9,"belonging to Achaia, Achaian",
206923,L7152359,n,9,an Achaean or Greek woman,
206924,L9502206,n,9,a town of Thessaly,2775
206926,L7457559,n,9,an unknown people in Sicily,
206927,L2167042,n,9,"a river in Epirus, which flows through the Lake Acherusia into the Ambracian Gulf, now Suli",2775
206928,L3222630,n,9,"Acheruns, or the Lower World",
206929,L7504440,a,9,pertaining to the Acheron in Calabria,
206930,L2206838,a,9,"Achaean, Grecian",
206931,L6917877,n,9,a part of the city of Syracuse,2775
206932,L1946284,n,9,"an epithet of Venus, perhaps from the Fountain Acidalius, in Boeotia, where the Graces, daughters of Venus, used to bathe",
206933,L2988454,a,9,pertaining to Acilius,
206934,L5229598,n,9,a Roman cognomen,2792
206936,L2585595,a,9,"pertaining to Acmonia, a town of Phrygia",2775
206937,L4425790,n,9,one of Vulcan's workmen,
206938,L3751462,n,9,"a city of Sicily, on a lofty hill near Syracuse, now Palazzolo",2775
206939,L9833325,n,9,"a town of Boeotia, now Kardhiza",2775
206940,L9530571,n,9,a celebrated graver,
206941,L3328514,n,9,a town of Laconia,2775
206942,L7639705,n,9,"a town in Sicily, on the road from Syracuse to Agrigentum",2775
206943,L1617660,a,9,pertaining to Acrisius,
206944,L4239060,n,9,"king of Argos, son of Abas, and father of Dana",
206945,L8378490,n,9,"king of the Albani, brother of Romulus Silvius",
206947,L1144000,a,9,"pertaining to Attica, Attic, Athenian",
206948,L3514813,n,9,"the earlier name for Attica, the province of Middle Greece, in which Athens was situated",2775
206949,L7039821,a,9,relating to Actium,
206950,L9638776,n,9,a proper name,
206951,L8060090,n,9,a Roman name,
206952,L3860515,n,9,a Roman cognomen in the gens Furia,2792
206953,L3274355,n,9,"a river in Upper Italy, which flows into the Po near Cremona, now Adde",2775
206954,L4804271,n,9,the tutelary goddess of newcomers,1666
206955,L2118801,n,9,"a region in the northern part of ancient Assyria, now Botan",2775
206956,L8219363,n,9,"king of the Comani, taken prisoner by Augustus at Actium",
206957,L4840817,n,9,the festival of Adonis,
206958,L6978588,n,9,the mortal lover of the goddess Aphrodite,1666
206960,L4356532,n,9,"a maritime town in Mysia, not far from the foot of Ida, now Adramyti",2775
206961,L7473787,n,9,"the daughter of Jupiter and Necessity, the goddess who rewards men for their deeds, and who especially punishes pride and arrogance",1666
206962,L5830812,a,9,pertaining to Adrastus,
206963,L8958587,a,9,pertaining to the Aeacidoe,
206965,L2166545,n,9,"a city of Hispania Tarraconensis, now Cuerva",2775
206967,L5308070,n,9,"a city of the Hirpini in Samnium, now Le Grotte",2775
206968,L6787367,n,9,"king of Colchis, son of Sol and Persa, daughter of Oceanus",
206969,L7866012,n,9,"a giant-monster, the other name of Briareus",
206970,L3604287,a,9,Aegean,
206971,L3799053,n,9,"son of Pandion, grandson of Cecrops, king of Athens, and father of Theseus",
206972,L6456507,n,9,"son of Aeetes, brother of Medea, commonly called Absyrtus",
206973,L8281913,n,9,a descendant of Aegeus,
206974,L6434800,n,9,"an island situated over against Carthage, now Zowamour or Zimbra",2775
206976,L6397966,n,9,an inhabitant of Aeginium,
206977,L4343943,n,9,Goat-Pan,
206978,L2002015,n,9,a town in Achaia,2775
206979,L5485390,n,9,"the son of Thyestes, who murdered Atreus and Agamemnon, with whose wife, Clytemnestra, he lived in incest, and was finally slain by Orestes",
206980,L3165817,n,9,"a town in Achaia, one of the twelve Achoean cities, situated on the river Selinus, now Vostitza",2775
206981,L1825585,n,9,"a nymph, daughter of Jupiter and Neoera",
206982,L1316570,n,9,originating from an Aelius,
206983,L6086918,n,9,the name of a harpy,
206984,L7654154,n,9,a Roman nomen,2792
206985,L9626395,n,9,"an island on the western coast of Campania, the landing-place of Aeneas, now Ischia",2775
206986,L3058596,n,9,"a city of Chalcidice, in Macedonia, opposite Pydna",2775
206987,L3642489,a,9,of or pertaining to Aeneas,
206988,L3432406,n,9,"a people of Thessalia, west of the Sinus Maliacus",1696
206990,L1398653,n,9,"a group of islands near Sicily, so called after Aeolus, who is said to have once reigned there, now the Lipari Islands",2775
206991,L1703509,a,9,"pertaining to the Aeolians, Aeolian, Aeolic",
206992,L1948299,n,9,a male descendant of Aeolus,
206993,L4211103,n,9,a female descendant of Aeolus,
206994,L7928281,a,9,"pertaining to Aeolus, Aeolia, or Aeolis, Aeolian",
206996,L2404008,n,9,an Italic tribe on a stretch of the Apennine Mountains to the east Latium in central of Italy,
206997,L9271950,n,9,"the open space in Rome below the Capitol, not far from the Carcer, where had stood the house of the turbulent tribune of the people",
206998,L4881757,n,9,the wife of Atreus,
206999,L3668841,n,9,a son of Priam,
207000,L1359900,n,9,"a river in Lower Italy, in the neighborhood of Crotona, now Esaro",2775
207001,L6510721,n,9,a disciple of Socrates,
207002,L1004443,n,9,"the first great tragic poet of Greece, the originator of the Greek drama",2748
207003,L3583587,n,9,sc,
207004,L1237560,n,9,acc,
207005,L8792158,n,9,"a town in Samnium, on the river Vulturnus, now Isernia",2775
207006,L2467403,n,9,a town in Umbria on the river Aesis,2775
207007,L5007485,n,9,"a Thessalian prince, brother of king Pelias, and father of Jason, who, according to fable, was in extreme old age transformed by the magic arts of Medea into a youth",
207008,L3704446,a,9,"Aesop, the Greek fabulist of Phrygia, in the time of Croesus",
207009,L4480595,n,9,a town in the neighborhood of Tibur,2775
207010,L9382914,a,9,"Ethiopia, a country in Africa on both sides of the equator",
207011,L2478972,n,9,an Ethiopian woman,
207012,L7418332,n,9,the name of a horse in the team of Phoebus,
207013,L7773874,n,9,"daughter of Oceanus and Tethys, mother of Hyas",
207014,L1182729,n,9,"the celebrated volcano of Sicily, now Mongibello or Aetna",
207015,L8698760,a,9,pertaining to Aetna,
207016,L5684740,a,9,pertaining to the town of Aetna,2775
207017,L7967874,n,9,"a province in Middle Greece, between Locri and Acarnania, south of Thessaly",2775
207018,L7892636,a,9,"pertaining to Africa, African",
207019,L9967521,n,9,"a brother of Trophonius, with whom he built the temple to the Delphic Apollo",1666
207020,L3807450,n,9,a male descendant of Agamemnon,
207021,L8448573,n,9,"a fountain in Boeotia, on Mount Helicon, sacred to the Muses, and giving poetical inspiration",1666
207022,L9281587,n,9,"a king of Sicily, son of a potter, celebrated for his war with the Carthaginians for the possession of the island",2775
207023,L3133900,n,9,"a town on the northern coast of Sicily, between Tyndaris and Calacta",2775
207578,L6819985,n,9,a people of Apulia,1696
207025,L2395212,n,9,"a son of Belus, king of Phoenicia, father of Cadmus and Europa, and ancestor of Dido",
207026,L6367126,n,9,"a king of Sparta, murdered by his own subjects",
207027,L4744218,n,9,"a celebrated Greek painter, painter, before Zeuxis",
207028,L3408235,n,9,"a daughter of Cecrops, and sister of Herse and Pandrosos, changed by Mercury into a stone",
207029,L1309085,n,9,a Roman festival,
207030,L3382671,n,9,"a town in Aethiopia, on the borders of Egypt",2775
207031,L2764372,a,9,pertaining to the Agonalia,
207032,L8322836,n,9,"one of the largest and richest cities on the south coast of Sicily, near Cape Pachynum",
207033,L6246691,n,9,a Roman family name,
207034,L1272055,n,9,the name of several Roman women,
207035,L2711334,n,9,"son of Parthaon, and father of Thersites",
207037,L7233075,n,9,a town in Etruria,2775
207038,L5677508,n,9,the name of two Greeks renowned for their bravery,
207039,L6900650,n,9,"a city in the interior of Caria, distinguished for its wealth and luxury, founded by Alabandus, who was honored by the inhabitants as a deity",2775
207040,L7579956,a,9,"of or pertaining to the Alani, a very warlike Scythian nation upon the Tanais and Palus Moeotis",
207041,L1831410,n,9,"Alaric, a king of the Goths",
207042,L7268260,n,9,a tribe of Libya,
207043,L8398627,n,9,one of the four horses drawing Hades's chariot,
207044,L6804223,n,9,"a river in Albania, now Alasan",2775
207045,L6005186,n,9,a river in Hispania Tarraconensis,2775
207046,L1431980,n,9,a confidant of C,
207047,L3433637,n,9,"a province on the coast of the Caspian Sea, now Daghestan and Lesghistan",2775
207048,L3239092,n,9,Alba,
207049,L9960269,n,9,a Greek sculptor of the school of Phidias,
207051,L3935205,n,9,"son of Pelops, founder of Megara ",
207052,L9302468,n,9,a town in Hispania Tarraconensis,2775
207054,L8211694,n,9,an Athenian general in the time of the Peloponnesian war,2798
207055,L6263758,n,9,a male descendant of Alceus,
207056,L6755863,n,9,a famous Greek painter,
207057,L1643295,n,9,"a daughter of Autolycus, wife of Aeson, and mother of Jason",
207058,L5642927,n,9,"a king of the Phoeacians, by whom Ulysses, in his wanderings, was entertained as guest",
207059,L4916705,n,9,an appellation of Minerva among the Macedonians,
207060,L7744135,n,9,a Greek female painter,
207061,L2115815,n,9,"one of the daughters of Minyas in Thebes, changed into a bat for ridiculing the orgies of Bacchus",
207062,L2682210,n,9,a Pythagorean philosopher of Croton,1545
207063,L2518414,n,9,"a daughter of Aeolus, who, from love to her husband Ceyx, who had suffered shipwreck, threw herself into the sea and was changed into a kingfisher",
207064,L4285275,a,9,of or pertaining to Ale in Lycia,
207065,L5455408,n,9,a confederation of Germanic tribes on the Upper Rhine River,
207066,L3301214,n,9,"an inhabitant of the town Aletium, in the land of the Hirpini, now Calitri",2775
207067,L8034611,n,9,"a town in Latium, now Alatri",2775
207068,L6565631,n,9,"a tyrant of Larissa, slain by his own servants",
207069,L1297775,n,9,a leader of the Aetolians,
207070,L8758530,a,9,growing upon Mount Algidus,
207071,L7398465,n,9,"a high snow-capped mountain, and the forest upon it, south-east of Rome, between Tusculum and Velitroe, now Monte Compatri",2775
207072,L9045565,n,9,a town in Arcadia,2775
207073,L4475056,a,9,of or belonging to Elis in Achaia,
207074,L1001513,n,9,"a little river eleven miles northwards from Rome, near Crustumerium, in the country of the Sabines, passing through a wide plain",2775
207075,L4234307,n,9,"a town of Samnium, in a pleasant valley, near the left bank of the Vulturnus, early colonized by the Romans, now Alife",2775
207076,L9310277,n,9,a warlike people in Gallia Narbonensis,
207078,L8141787,n,9,"the name of a giant, father of Otus and Ephialtes",
207079,L9900672,n,9,a people of Mesopotamia,1696
207080,L9669076,n,9,"daughter of Cercyon, and mother of Hippothous by Neptune, who changed her into a fountain",
207081,L9160870,n,9,"the high mountains of Switzerland, the Alps, unknown to the Romans, in their whole extent, until the time of Augustus",2775
207082,L5596824,n,9,"the nymph and fountain Arethusa, which unites its waters with the river Alpheus",2775
207142,L5434600,n,9,"a river in Thessaly, that rises near the foot of Pelion",2775
207084,L8004504,a,9,of or pertaining to the city of Alsium,2775
207086,L5787786,n,9,"a town in the north of Italy, near Venice, at the mouth of the river Silis, upon the shore of the Adriatic Sea, distinguished for its fat sheep and magnificent villas",2775
207087,L6184624,n,9,"a king of Lydia, father of Croesus",
207088,L6153794,n,9,father of Iphimedia,
207089,L6081259,n,9,"a nymph, daughter of Melissus, king of Crete, who fed Jupiter with goat's milk",
207090,L7302055,a,9,"name of two towns of Illyricum, one inland, and the other on the coast, now Nivitza",2775
207091,L7682156,n,9,a mountain range,2775
207092,L9932022,n,9,"a village of Euboea, with a temple of Diana",1666
207093,L1460883,n,9,"a town in Pontus, on the river Iris, the birthplace of Strabo",2775
207094,L4802328,n,9,a king of Egypt,
207095,L4633572,n,9,"a town in Paphlagonia, on the shore of the Pontus Euxinus",2775
207096,L1819375,n,9,(acc,
207097,L7729606,n,9,a people in Galatia,
207098,L2729690,n,9,L,
207099,L4383173,n,9,"a town in the south of Epirus, upon the gulf of the same name, now Arta",2775
207100,L7741829,a,9,"Ambrosia, daughter of Attas and Pleione, one of the Hyades",
207101,L8114071,n,9,"or a small town in Phocis, now Dhistomo",2775
207102,L6418780,n,9,"a river in Sicily, at the southern declivity of Aetna",2775
207103,L7411259,n,9,"a very ancient town in Umbria, now Amelia",2775
207104,L2358993,n,9,"a town on the north coast of Sicily, mentioned only by Cic",2775
207105,L4266262,n,9,"a town in Pontus, now Samsoon",2775
207106,L4189241,a,9,belonging to Amiternum,
207107,L3791395,n,9,a town in Latium,2775
207108,L9110170,n,9,a distinguished Athenian harp-player,
207110,L7505491,n,9,"a beautiful youth, loved by Bacchus",
207111,L2222896,n,9,"a distinguished Grecian seer, father of Alcmoeon and Amphilochus",
207112,L8540054,n,9,"the political and religious assembly of the confederated Greek States at Thermopyloe, later at Delphi, the Amphictyons",
207113,L4948922,n,9,"one of the Argonauts, son of Aleus, from Arcadia",
207114,L5630769,n,9,a small province in Acarnania,2775
207115,L6596332,n,9,"son of Amphiaraus, founder of Argos Amphilochium, in Epirus",
207116,L1500357,n,9,"son of Antiope by Jupiter, king of Thebes, and husband of Niobe",
207117,L5040630,n,9,"a distinguished city in Macedonia, now Neokhorio",2775
207118,L8751770,n,9,"the ancient chieftown in Locri Ozoloe, near Phocis, now Salona",2775
207119,L3517532,n,9,"son of Apollo and Dryope, builder of the town Oeta, at the foot of Mt",2775
207120,L5000971,n,9,"the wife of Neptune, and goddess of the Sea",1666
207121,L1684144,n,9,"son of Alceus and Hipponome, king of Thebes, and husband of Alcmene",
207123,L1781093,n,9,a priest of Ceres,
207124,L4629698,n,9,one of the Lapithoe,
207125,L5285958,n,9,"son of Procas, king in Alba, who expelled his brother Numitor, and ordered his grandsons Romulus and Remus to be thrown into the Tiber",
207126,L9636348,n,9,"a town in Laconia, in a beautiful, fertile region, the residence of Tyndarus and the birthplace of Castor and Pollux",2775
207127,L1191286,n,9,"son of Neptune, king of the Bebrycians",
207128,L4667962,n,9,"daughter of Danaus, and grandmother of Palamedes",
207129,L8886692,n,9,the father of the Macedonian king Philip,
207130,L5412107,n,9,"king of the Dolopians, and father of Phoenix",
207131,L7253524,n,9,"a Greek, the father of Melampus",
207132,L3945666,n,9,an epithet of the Dioscuri,
207133,L4927697,n,9,a distinguished Scythian philosopher in the time of Solon,1545
207134,L4870927,n,9,a distinguished lyric poet of Teos,
207135,L8823372,n,9,"an epithet of Venus emerging from the sea, a celebrated picture of the painter Apelles",
207136,L4843565,n,9,"a town in Latium, the chief seat of the Hernici, now Anagni",2775
207137,L6368180,n,9,"an Armenian goddess, said to be the name of Diana read backwards",1666
207138,L6895486,n,9,a painting of the Theban Aristides,
207140,L8248110,n,9,"an island that rose of itself in the Cretan Sea, now Namfi or Namfio",2775
207141,L9140827,n,9,"a small river in the Venetian territory, now Stella",2775
208068,L7909802,n,9,a wild tribe of Ethiopia,
207144,L3679033,n,9,a distinguished Ionian philosopher of Miletus,1545
207145,L9985458,n,9,"an Arcadian, slain by the Calydonian bcar",
207146,L4934084,n,9,"a town in Galatia, now Angora, where was a marble temple of Augustus, built in his lifetime",2775
207147,L1485320,n,9,"a very ancient town of Messenia, now Andorossa",2775
207148,L5238971,n,9,"a Gallic tribe in the region of the present Anjou, with a town of the same name, now Angors",2775
207149,L3365572,n,9,"the father of Amphissus and husband of Dryope, who was changed into a lotus",
207150,L5631207,n,9,a servant of Cicero,
207152,L3148022,n,9,i,
207153,L3933104,n,9,"son of the Cretan king Minos, whom the Athenians and Megarians slew",
207154,L9567500,n,9,a daughter of the Ethiopian king Cepheus and Cassiope,
207155,L2363669,n,9,"the cognomen of several Romans, among whom the most distinguished",2792
207156,L4873253,n,9,"a promontory and town of Cilicia, now Anemur",2775
207157,L7293779,n,9,a mountain in Palestine,2775
207158,L3148656,n,9,a town in Thessaly,2775
207159,L4106158,n,9,an island in the Aegean Sea,2775
207160,L3580488,a,9,"pertaining to Anicius, named from him, Anician",
207161,L1889876,n,9,a mountain in Liguria,2775
207162,L5441187,n,9,"Anio, of or pertaining to the Anio",
207163,L8458834,n,9,"a little river in Elis, rising on Mount Lapithus, now Mauropotamo",2775
207165,L3167396,n,9,Of or pertaining to Annius or Annia,
207166,L4965852,n,9,"a philosophical sect of Cyrene, so called from its founder Anniceris",
207167,L5778216,n,9,a district of Upper Aegypt,2775
207168,L1005530,n,9,"a huge giant in Libya, slain by Hercules",
207169,L7649032,n,9,"a maritime town in Mysia, now Antandro",2775
207170,L3744839,n,9,"a very ancient town of the Sabines, so called from its situation on the river Anio, where it empties into the Tiber",2775
207171,L6075321,n,9,"a noble Trojan, who was in favor of restoring Helen and making peace with the Greeks",
207172,L7541480,n,9,an avenger of slighted love,
207173,L2642863,n,9,"a town and harbor in Boeotia, opposite the island Euboea, the birthplace of Glaucus, and noted for its great traffic in sponges, now Paleo-kastro",2775
207174,L5335568,n,9,a region in Macedonia,2775
207175,L2915915,n,9,a town in Macedonia,2775
207176,L2493248,n,9,an old name of the island of Samos,2775
207177,L7435736,n,9,name of a slave,
207178,L4983815,n,9,"the title of Coesar's reply to Cicero's panegyric of Cato Uticensis, the title of which was Cato",
207179,L1422274,n,9,the mother of Ulysses,
207180,L3600323,a,9,Dicaearch,
207181,L8844727,n,9,an artist that cast statues,
207182,L7217084,n,9,a daughter of the Theban king Oedipus,
207183,L9926781,n,9,or the name of several towns,2775
207184,L9991545,n,9,the name of several kings after Alexander the Great,
207185,L5891502,n,9,"a mountain range in Phoenicia, opposite to Libanus, now Jebel esh-Shurky",2775
207186,L6006188,n,9,"a Greek poet of Colophon, a contemporary of Socrates and Plato, and author of a Thebaid",2748
207187,L8824450,n,9,Antioch,
207188,L7681010,n,9,"Antiochia, of or belonging to Antiochia",
207189,L8387960,a,9,"Antiochus, of or belonging to king Antiochus",
207190,L6111115,a,9,of or pertaining to the philosopher Antiochus,1545
207191,L2713744,a,9,Antiochus,
207193,L9097327,n,9,"a daughter of Nycteus, wife of Lycus, king of Thebes, mother of Amphion and Zethus",
207194,L9942818,n,9,"one of the generals and successors of Alexander the Great, the father of Cassander",2798
207195,L6962650,n,9,"a town in Macedonia, on the borders of Illyria",2775
207196,L6725600,n,9,"a king of the Loestrygones, who sunk the fleet of the Greeks returning from Troy with Ulysses, and devoured one of his companions",
207197,L1021028,n,9,"a renowned sophist of Rhamnus, a contemporary of Socrates",
207198,L3725758,n,9,"a city in Gaul, now Antibes",2775
207199,L5886753,n,9,"a town in the southern part of the island of Lesbos, now Kalas Limneonas",2775
207200,L6160001,n,9,"a pupil of Socrates, teacher of Diogenes, and founder of the Cynic philosophy",
207201,L7457743,n,9,"An ancient town in Latium distinguished for the temple of Fortune, not far from the sea-coast, now Porto d'Anzio, the birthplace of Nero",2775
207202,L6146311,n,9,one of the Danaids,
207204,L5202830,n,9,"a town in Thessaly, now Fano",2775
207205,L8474341,a,9,belonging to Anxur,
207206,L7366356,n,9,one of the first four Muses,
207208,L8154078,n,9,"a river of Illyria which falls into the Ionian Sea, now Vovussa or Lao",2775
207209,L8527197,n,9,"one of the most distinguished towns in Coele-Syria, on the Orontes, in the Middle Ages, Afamiah or Famit, now Famieh",2775
207210,L2310275,n,9,"a place on the Cimmerian Bosporus, with a temple of Venus Apaturia",2775
207211,L4162168,n,9,a distinguished Greek painter in the time of Alexander the Great,
207212,L4222536,n,9,"a small province in Thessaly, south of the Dolopians",2775
207213,L9079564,n,9,a king of the Messenians,
207214,L8526882,n,9,a small place in Attica,2775
207215,L6506001,n,9,a festival of Venus,
207216,L5781638,n,9,a region in Asiatic Aeolis,2775
207218,L8163321,n,9,an old name of the Peloponnesus,
207219,L3906630,a,9,of or pertaining to Apicius,
207220,L4586179,n,9,"a river in Thessaly, which, uniting with the Enipeus, flows into the Peneus, now Fersaliti",2775
207221,L7001617,n,9,a poor and small town in Apulia,2775
