,00229978,a,10,"changed for the worse in health or fitness: ""I feel worse today""; ""her cold is worse""",
183507,00345660,a,10,"capable of or tending to change in form or quality or nature: ""a mutable substance""; ""the mutable ways of fortune""; ""mutable weather patterns""; ""a mutable foreign policy""",
183551,00354187,a,10,"depressing in character or appearance: ""drove through dingy streets""; ""the dismal prison twilight""-Charles Dickens; ""drab old buildings""; ""a dreary mining town""; ""gloomy tenements""; ""sorry routine that follows on the heels of death""-B.A.Williams",1502
183531,00350017,a,10,"physically in an owner's possession; ""came to the auction cash in hand""",
183521,00348412,a,10,"of a particle or body or system; having no charge: ""an uncharged particle""; ""an uncharged battery""",
183514,00347450,a,10,"distinctive and not typical: ""a book uncharacteristic of its author",
183515,00347638,a,10,"not conforming to type: ""showed atypical agility""",
183523,00348765,a,10,"full of love and generosity: ""charitable to the poor""; ""a charitable trust""",
183517,00348002,a,10,"(electricity) charged or energized with electricity; ""a hot wire""; ""a live wire""",2107
183540,00351519,a,10,"lacking moral discipline; especially sexually unrestrained: ""coarse and licentious men""",1703
183524,00348951,a,10,"generous in assistance to the poor: ""a benevolent contributor""; ""eleemosynary relief""; ""philanthropic contributions""",
183526,00349347,a,10,"lacking in largess: ""an ungenerous response to an appeal for funds""",
183527,00349471,a,10,"hired for the exclusive temporary use of a group of travelers: ""a chartered plane""; ""the chartered buses arrived on time""",
183530,00349890,a,10,"owned by a relatively few shareholders: ""a closely-held corporation""",
183511,00346749,a,10,"of a feature that helps to distinguish a person or thing: ""Jerusalem has a distinctive Middle East flavor""-Curtis Wilkie; ""that is typical of you!""",
183534,00350506,a,10,"abstaining from sexual intercourse: ""celibate priests""",1703
183535,00350627,a,10,"in a state of sexual virginity: ""pure and vestal modesty""; ""a spinster or virgin lady""; ""men have decreed that their women must be pure and virginal""",1703
183536,00350867,a,10,"not chaste: ""unchaste conduct""",1703
183539,00351423,a,10,"having lost your chastity: ""a fallen woman""",1703
183542,00352106,a,10,"cheerful and bright: ""a beaming smile""; ""a glad May morning""",1502
183547,00353055,a,10,"bright and pleasant; promoting a feeling of cheer: ""a cheery hello""; ""a gay sunny room""; ""a sunny smile""",1502
183544,00352451,a,10,"carefree and happy and lighthearted: ""was loved for her blithe spirit""; ""a merry blithesome nature""; ""her lighthearted nature""; ""trilling songs with a lightsome heart""",1502
183546,00352957,a,10,"bringing cheer or gladness: ""cheering news""",1502
183513,00347275,a,10,"characteristic of one only; distinctive or special: ""the peculiar character of the Government of the U.S.""-R.B.Taney",
183549,00353542,a,10,"lacking cheer; depressing: ""something cheerless about the room""; ""a moody and uncheerful person""; ""an uncheerful place""",1502
183488,00343057,a,10,"improved or brought up to date: ""a revised edition""",
211376,L2601607,n,9,A court-day,
183555,00354951,a,10,having a granular structure like that of chondrites,
183556,00355070,a,10,not having a granular structure,
211384,L4488522,n,9,"The list of consuls who gave their names to the year, the chronological list",
183561,00355823,a,10,being or having or characterized by hue,2104
183562,00357188,a,10,a medium to dark brownish yellow color,2104
183563,00357311,a,10,of a moderate purple color,2104
183565,00357575,a,10,of the dull yellowish green of the meat of an avocado,2104
183560,00355658,a,10,"(of light or other electromagnetic radiation) composed of more than one wavelength; ""polychromatic light""",2097
183570,00358294,a,10,"blush colored: ""blushful mists""",2104
183564,00357392,a,10,"having the deep slightly brownish color of gold: ""long aureate (or golden) hair""; ""a gold carpet""",2104
183582,00359549,a,10,"of the color of cream: ""creamy translucent pebbles""",2104
183575,00358769,a,10,having the color of a canary; a light to moderate yellow,2104
183576,00358894,a,10,having the color of caramel; a moderate yellow-brown,2104
183585,00359974,a,10,"earth colored; having a color of soil or earth: ""a range of earthlike colors""",2104
183610,00362722,a,10,"having a dusty purplish pink color: ""the roseate glow of dawn""",2104
183590,00360490,a,10,similar to the color of jade; especially varying from bluish green to yellowish green,2104
183567,00357880,a,10,of a light grayish-brown color,2104
183615,00363207,a,10,"having the color of a blue sapphire: ""sapphire eyes""",2104
183566,00357682,a,10,"of a deep somewhat purplish blue color similar to that of a clear October sky: ""October's bright blue weather""",2104
183616,00363314,a,10,of the color of the sea; bluish green,2104
183617,00363407,a,10,snuff colored; grayish to yellowish brown,2104
183620,00363734,a,10,of a pale yellow color like straw; straw colored,2104
183579,00359214,a,10,"used of hair; of a golden brown to reddish brown color: ""a chestnut horse""; ""chestnut hair""",2104
183568,00357962,a,10,(Scot) bluish-black or gray-blue,2104
183571,00358387,a,10,of a dark to moderate grayish green color,2104
183572,00358487,a,10,of the color of bronze,2104
183573,00358571,a,10,of a color similar to that of wood or earth,2104
183574,00358690,a,10,of the color of buff leather,2104
183577,00359016,a,10,having the color of a carnation,2104
183578,00359103,a,10,having the yellowish green color of Chartreuse liqueur,2104
183580,00359360,a,10,having the color of copper,2104
183581,00359457,a,10,of a strong pink to yellowish-pink color,2104
183586,00360107,a,10,having a dusky brownish gray color,2104
183587,00360195,a,10,similar to the color of fresh grass,2104
183588,00360320,a,10,of a light brown or yellowish brown color,2104
183589,00360413,a,10,having the color of honey,2104
183591,00360639,a,10,of a yellowish brown color similar to olive drab,2104
183592,00360739,a,10,of a pale purple color,2104
183593,00360824,a,10,deep purplish red,2104
183594,00360895,a,10,dark brownish to purplish red,2104
183595,00360977,a,10,of a pale to moderate grayish violet color,2104
183596,00361071,a,10,of a moderate somewhat dull yellow-green color,2104
183597,00361186,a,10,resembling moss,2104
183599,00361468,a,10,of a moderate orange-yellow color,2104
183600,00361561,a,10,of a brown color with a greenish tinge,2104
183601,00361657,a,10,of an olive-brown color similar to khaki,2104
183602,00361754,a,10,of a yellow-green color similar to that of an unripe olive,2104
183603,00361864,a,10,similar to the color of a ripe orange,2104
183604,00361965,a,10,bright greenish blue,2104
183605,00362044,a,10,of a moderate slightly yellowish-green color,2104
183606,00362144,a,10,similar to the natural color of pinks,2104
183607,00362242,a,10,moderate to pale blue or purplish blue,2104
183608,00362338,a,10,of a color midway between red and blue,2104
183609,00362449,a,10,having any of numerous bright or strong colors reminiscent of the color of blood or cherries or tomatoes or rubies,2104
183611,00362857,a,10,of a deep slightly bluish red color,2104
183612,00362947,a,10,brown with a reddish tinge,2104
183613,00363026,a,10,of the color of rust,2104
183614,00363105,a,10,of the gray-green color of sage leaves,2104
183618,00363544,a,10,of a light brownish color,2104
183619,00363640,a,10,of any of various dull tannish-gray colors,2104
183559,00355487,a,10,"(of light or other electromagnetic radiation) having only one wavelength; ""monochromatic light""",2097
211377,L7398602,n,9,"the right, claim of one's native land",
211373,L8664052,a,9,"Fabulous, celebrated in fable.",2657
183621,00363834,a,10,of a light yellowish-brown color,2104
183622,00363916,a,10,of a strong reddish orange color,2104
183623,00364004,a,10,of a light brown to brownish orange color,2104
183624,00364097,a,10,of a brilliant pure blue to purplish blue color,2104
183625,00364202,a,10,of the color of any of various natural brown earth pigments,2104
183626,00364313,a,10,of a vivid red to reddish-orange color,2104
183627,00364444,a,10,similar to the color of an egg yolk,2104
183628,00364544,a,10,midway between yellow and green,2104
183629,00364634,a,10,having no hue,2104
183633,00365492,a,10,black with a tinge of blue and no hint of brown,2104
183636,00365792,a,10,very dark gray,2104
183638,00366043,a,10,very dark black,2104
183640,00366318,a,10,totally lacking in saturation and therefore having no hue,2104
183635,00365687,a,10,"having the color of chalk: ""she turned chalky white""",2104
183639,00366117,a,10,"an achromatic color of any lightness between the extremes of black and white: ""gray flannel suit""; ""hair just turning gray""",2104
183646,00366864,a,10,"lacking hue: ""neutral colors like back or white""",2104
183649,00367141,a,10,"of the color of slate or granite: ""the slaty sky of dawn""",2104
183665,00370200,a,10,"having two colors: ""a bicolor flower""; ""a bicolored postage stamp""",2104
183654,00368023,a,10,(of color) being chromatically pure; not diluted with white or gray or black,2104
183655,00368180,a,10,"(of color) having the highest saturation; ""vivid green""; ""intense blue""",2104
183656,00368313,a,10,"(of color) not chromatically pure; diluted; ""an unsaturated red""",2104
183657,00368453,a,10,"(of color) very low in saturation; highly diluted; ""dull greens and blues""",2104
183658,00368578,a,10,"(photography) ""color film""; ""he rented a color television""; ""in glorious color""; ""marvelous color illustrations""",2527
183660,00368872,a,10,"(photography) ""black-and-white film""; ""a black-and-white TV""; ""the movie was in black and white""",2527
183663,00369988,a,10,"(of hair) ""auburn hair""",2104
183667,00370515,a,10,"characterized by or marked with a bluish color: ""a blue fox""; ""the great blue whale""; ""a blue spruce""",2104
183666,00370367,a,10,"(of the face) made black especially as with suffused blood; ""a face black with fury""",2104
183670,00370933,a,10,"made purple especially as with suffused blood: ""empurpled with rage""; ""purple with suppressed anger""",2104
183634,00365596,a,10,"grayish white: ""the canescent moon""",2104
183678,00372328,a,10,"having or given a shade of color; especially a pale shade; often used in combination: ""amber-tinted""",2104
183681,00373016,a,10,"without color: ""pure water is colorless""",2104
183677,00372174,a,10,"(used of especially horses) having a brownish coat thickly sprinkled with white or gray; ""a roan horse""","2104,2188"
183688,00373984,a,10,"permanently dyed: ""fast colors""; ""colorfast fabrics""",2401
183684,00373395,a,10,"(of wine) almost colorless; ""white wines such as chardonnays or rieslings""; ""a white burgundy""; ""white Italian wines""",2354
183641,00366429,a,10,of the color of black ink,2104
183685,00373564,a,10,"(of wine) deep reddish in color; ""a red wine such as a claret or burgundy""; ""a pinot noir is a red burgundy""",2354
183672,00371295,a,10,"used in combination; having a given hue: ""rosy-hued""",2104
183689,00374099,a,10,dyed with henna; used especially of hair,
183642,00366530,a,10,the gray color of iron,2104
183643,00366620,a,10,a pure white color,2104
183644,00366695,a,10,a white the color of fresh milk,2104
183645,00366783,a,10,dark gray,2104
183647,00366966,a,10,a white the color of pearls,2104
183648,00367061,a,10,dark somewhat brownish black,2104
183650,00367285,a,10,the white color of snow,2104
183651,00367373,a,10,tending toward white,2104
183664,00370080,a,10,(used of animals especially a horse) of a moderate reddish-brown color,"2104,2188"
183669,00370845,a,10,having or involving two colors,2104
183673,00371401,a,10,having or appearing to have only one color,2104
183675,00371922,a,10,having or exhibiting many colors,2104
183682,00373222,a,10,having little or inadequate color,2104
183683,00373313,a,10,having no color,2104
183686,00373722,a,10,colored or impregnated with dye,
183687,00373867,a,10,dyed before being spun or woven into cloth,
183690,00374193,a,10,not dyed or tinted,
183631,00365309,a,10,pale gray; ash-colored,2104
183692,00374466,a,10,having the color spoiled with spots or streaks,
211374,L8489378,n,9,the will or determination of the gods,1666
211378,L8249902,a,9,in which it is allowed to speak,
183693,00374583,a,10,(of a specimen for study under a microscope) treated with a reagent or dye that colors only certain structures,"2097,2111"
183695,00374873,a,10,(of a specimen for study under a microscope) not treated with a reagent or dye,"2097,2111"
183717,00379202,a,10,richly and brilliantly colorful,
183718,00379319,a,10,(used especially of clothes) marked by conspicuous display,2875
183726,00380702,a,10,slightly pale,2104
183732,00381403,a,10,(music) based on the standard major or minor scales consisting of 5 tones and 2 semitones without modulation by accidentals,2536
183737,00382498,a,10,following the teachings or manifesting the qualities or spirit of Jesus Christ,
183739,00382788,a,10,resembling or showing the spirit of Christ,
183740,00382898,a,10,not of a Christian faith,
183741,00383016,a,10,not believing in Christ,
183746,00383901,a,10,showing evidence of moral and intellectual advancement,
183747,00384008,a,10,not having a high state of culture and social development,
183749,00384510,a,10,primitive in customs and culture,
183750,00384598,a,10,used of a society that has not developed writing,
183752,00384864,a,10,(fine arts) of or characteristic of a form or system felt to be of first significance before modern times,"2425,2446"
183699,00375588,a,10,"varying in color when seen in different lights or from different angles: ""changeable taffeta""; ""chatoyant (or shot) silk""; ""a dragonfly hovered, vibrating and iridescent""",2234
183702,00376080,a,10,"exhibiting spectral colors formed by refraction of light through a prism: ""prismatic light""",2234
183712,00378135,a,10,"resembling paste in color; pallid: ""the looked pasty and red-eyed""; ""a complexion that had been pastelike was now chalky white""",2234
183703,00376227,a,10,"having the vivid colors and bizarre patterns associated with psychedelic states: ""a psychedelic painting""",2234
183704,00376390,a,10,"weak in color: ""colorless green ideas sleep furiously""",2234
183706,00377083,a,10,"having lost freshness or brilliance of color: ""sun-bleached deck chairs""; ""faded jeans""; ""a very pale washed-out blue""; ""washy colors""",2234
183708,00377492,a,10,"deprived of color: ""colors dulled by too much sun""; ""grayed with the dust of the road""",2234
183710,00377817,a,10,"ghastly pale: ""moonlight gave the statue a lurid luminence""",2234
183709,00377640,a,10,"(especially of plants) developed without chlorophyll by being deprived of light; ""etiolated celery""",2172
183715,00378698,a,10,"striking in variety and interest: ""a colorful period of history""; ""a colorful character""; ""colorful language""",
183725,00380571,a,10,"very light colored; highly diluted with white: ""pale seagreen""; ""pale blue eyes""",2104
183714,00378574,a,10,"(of hair) having lost its color; ""the white hairs of old age""",2104
183719,00379463,a,10,"full of variety or interest: ""a many-sided personality""",
183720,00379575,a,10,"strikingly expressive: ""a picturesque description of the rainforest""",
183721,00379701,a,10,"lacking in variety and interest: ""a colorless and unimaginative person""; ""a colorless description of the parade""",
183723,00380084,a,10,"lacking in vitality or interest or effectiveness: ""a pale rendition of the aria""; ""pale prose with the faint sweetness of lavender""; ""a pallid performance""",
183727,00380768,a,10,"delicate and pale in color: ""pastel pink""",2104
183728,00380862,a,10,"as if dulled in color with a sprinkling of powder: ""a powdery blue""",2104
183753,00385079,a,10,characteristic of the classical artistic and literary traditions,"2425,2446"
183730,00381193,a,10,"slightly dark: ""darkish red""",2104
183738,00382668,a,10,"becoming to or like a Christian: ""gentle christianly behavior""",
183731,00381275,a,10,"(music) based on a scale consisting of 12 semitones; ""a chromatic scale""",2536
183694,00374747,a,10,"not stained: ""An apron keeps his clothing unstained""",
183735,00381952,a,10,"on or coming from the other side of the mountains (from the the speaker); ""the transmontane section of the state""; ""tramontane winds""",
183742,00383111,a,10,"not becoming to or like a Christian: ""ashamed to have to recognize how unchristianly his assumptions and motives are""",
183743,00383303,a,10,"having a high state of culture and development both social and technological: ""terrorist acts that shocked the civilized world""",
183745,00383796,a,10,"of or in a condition of social order: ""civil peoples""",
183744,00383612,a,10,"(of societies) highly developed especially in technology or industry; ""advanced societies""; ""an advanced country technologically""",
183700,00375847,a,10,"strong; intense: ""deep purple""; ""a rich red""",2234
183751,00384718,a,10,"(anthropology; of societies) preliterate or tribal or nonindustrial; ""primitive societies""",1675
183697,00375265,a,10,"resembling flame in brilliance or color: ""maple trees ablaze in autumn""; ""flaming autumn leaves""",2234
211370,L43001,n,9,"That which is said, an utterance.",
183754,00385197,a,10,characteristic of the ancient Greek and Roman cultures,"2425,2446"
183755,00385320,a,10,characteristic of a revival of an earlier classical style,"2425,2446"
183756,00385449,a,10,(fine arts) not classical,"2425,2446"
183757,00385587,a,10,(of music) characteristic of rural life,2536
183758,00385718,a,10,characteristic of present-day art and literature,"2425,2446"
183759,00385819,a,10,(of music or art) new and of general appeal (especially among young people),2425
183760,00385954,a,10,arranged into classes,
183761,00386068,a,10,arranged into categories,
183762,00386150,a,10,arranged into groups,
183763,00386233,a,10,not arranged in any specific grouping,
183764,00386347,a,10,not categorized or sorted,
183768,00387128,a,10,the lowest level of official classification for documents,
183769,00387242,a,10,the next to highest level of official classification for documents,
183770,00387361,a,10,used officially of classified information or matters affecting national security,
183771,00387497,a,10,the highest official level of classification of documents,
183772,00387611,a,10,not subject to a security classification,
183777,00388398,a,10,"not processed or subjected to analysis: ""raw data""; ""the raw cost of production""; ""only the crude vital statistics""",
183781,00389229,a,10,"habitually clean: ""cleanly in their persons and habitations""",1969
183783,00389431,a,10,"not yet used or soiled: ""a fresh shirt""; ""a fresh sheet of paper""; ""an unused envelope""",1969
183785,00389858,a,10,"immaculately clean and unused: ""handed her his pristine white handkerchief""",1969
183786,00389988,a,10,"made clean by scrubbing: ""fresh-scrubbed floors""; ""boys with scrubbed necks and faces""",1969
183792,00391502,a,10,"made dirty or foul: ""a building befouled with soot""; ""breathing air fouled and darkened with factory soot""",1969
183776,00388228,a,10,"not analyzed or broken down for detailed examination: ""an unalyzed compound""; ""unanalyzed data""",
183797,00392397,a,10,"covered with a layer of dusty: ""a dusty pile of books""",1969
183799,00392603,a,10,"disgustingly dirty; filled or smeared with offensive matter: ""as filthy as a pigsty""; ""a foul pond""; ""a nasty pigsty of a room""",1969
183801,00393055,a,10,"smeared or soiled with grease or oil: ""greasy coveralls""; ""get rid of rubbish and oily rags""",1969
183802,00393207,a,10,"infested with lice: ""burned their lousy clothes""",1969
183773,00387746,a,10,having had security classification removed,
183805,00393515,a,10,"covered with scum: ""the scummy surface of the polluted pond""",1969
183807,00393909,a,10,"dirty with nasal discharge: ""a snotty nose""; ""a house full of snot-nosed kids""",1969
183808,00394053,a,10,"soiled from travel: ""travel-soiled clothes""",1969
183809,00394173,a,10,"not having been swept: ""unswept floors""",1969
183810,00394266,a,10,"not cleaned with or as if with soap and water: ""a sink full of unwashed dishes""",1969
183814,00395177,a,10,"humorously vulgar: ""bawdy songs""; ""off-color jokes""; ""ribald language""",
183812,00394632,a,10,"(extended sense) of exceptionally clean language; ""lyrics as antiseptic as Sunday School""",1969
183815,00395320,a,10,"characterized by profanity or cursing: ""foul-mouthed and blasphemous""; ""blue language""; ""profane words""",
183817,00395577,a,10,"characterized by obscenity: ""had a filthy mouth""; ""foul language""; ""smutty jokes""",
183818,00395735,a,10,"using foul or obscene language: ""noisy foul-mouthed women all shouting at once""",
183820,00396115,a,10,"dealing with salacious or indecent material: ""a scabrous novel""",
183821,00396233,a,10,"dealing pruriently with excrement and excretory functions: ""scatological literature""",
183791,00391309,a,10,"limp and soiled as if dragged in the mud: ""the beggar's bedraggled clothes""; ""scarecrows in battered hats or draggled skirts""",1969
183774,00387847,a,10,never having had security classification,
183779,00389074,a,10,capable of being cleaned,1969
183780,00389154,a,10,made clean,1969
183782,00389343,a,10,cleaned with chemical solvents,1969
183787,00390129,a,10,without soil or spot or stain,1969
183789,00390410,a,10,clean by virtue of having been washed in water,1969
183796,00392327,a,10,infested with bugs,1969
183798,00392518,a,10,foul with waste matter,1969
183803,00393307,a,10,spotted or blotched,1969
183816,00395498,a,10,having lewd thoughts,
183767,00386911,a,10,the level of official classification for documents next above restricted and below secret; available only to persons authorized to see documents so classified,
183826,00397257,a,10,not radioactive,
183827,00397333,a,10,(religion) ritually clean or pure,1565
211379,L6032644,n,9,"The title of a poem of Ovid, on the Roman festivals, the festival calendar",
183831,00397964,a,10,(Judaism) not conforming to dietary laws,1565
183871,00406153,a,10,as if in a trance,
183874,00406602,a,10,characterized by tolerance and mercy,2516
183879,00407311,a,10,(of weather of climate) physically severe,2126
183882,00407769,a,10,showing mental alertness and calculation and resourcefulness,
183885,00408403,a,10,lacking or marked by lack of intellectual acuity,
183887,00408939,a,10,used informally,
183888,00409106,a,10,heavy and dull and stupid,
183890,00409663,a,10,British informal,
183825,00397107,a,10,"having or dealing with dangerously high levels of radioactivity: ""hot fuel rods""; ""a hot laboratory""",
183870,00405924,a,10,"stupefied or dizzied by something overpowering: ""I fall back dazzled at beholding myself all rosy red, / At having, I myself, caused the sun to rise.""-""Chanticler"" by Rostand",
183828,00397472,a,10,"(Judaism) conforming to dietary laws; ""kosher meat""; ""a kosher kitchen""",1565
183829,00397605,a,10,"(religion) ritually unclean or impure; ""and the swine...is unclean to you""-Leviticus 11:3",1565
183834,00398675,a,10,"lacking subtlety; obvious: ""gave us a broad hint that it was time to leave""",2234
183843,00400522,a,10,"lacking clarity of meaning; causing confusion or perplexity: ""sent confusing signals to Iraq""; ""perplexing to someone who knew nothing about it""; ""a puzzling statement""",2234
183837,00399427,a,10,"as it seems at first sight: ""a prima facie case of murder""",2234
183839,00399675,a,10,"having the clarity and freshness of immediate experience: ""a vivid recollection""",2234
183841,00400161,a,10,"causing bafflement: ""the play was at the same time a bewildering and an exciting experience""",2234
183847,00401862,a,10,"resembling glass in transparency or translucency: ""the morning is as clear as diamond or as hyaline""-Sacheverell Sitwell",2234
183845,00401181,a,10,"free from cloudiness; allowing light to pass through: ""clear water""; ""clear plastic bags""; ""clear glass""; ""the air is clear and clean""",2234
183856,00403349,a,10,"having a frosted look from a powdery coating, as on plants: ""glaucous stems""; ""glaucous plums""; ""glaucous grapes""",2234
183848,00402036,a,10,"clear and bright: ""the liquid air of a spring morning""; ""eyes shining with a liquid luster""; ""limpid blue eyes""",2234
183850,00402366,a,10,"not made opaque or cloudy by sediment: ""the wine was unclouded""",2234
183854,00403099,a,10,"obscured by fog: ""he could barely see through the fogged window""",2234
183851,00402485,a,10,"(of glass) lacking a frosted coating; ""unfrosted light bulbs""",2234
183853,00402914,a,10,"(of especially liquids) clouded as with sediment; ""a cloudy liquid""; ""muddy coffee""; ""murky waters""",2234
183858,00403663,a,10,"incapable of being seen through: ""solid blackness""",2234
183857,00403517,a,10,"resembling milk in color or cloudiness; not clear: ""milk glass""",2234
183864,00404496,a,10,"mentally confused; unable to think with clarity or act intelligently: ""the flood of questions left her bewildered and confused""",
183862,00404230,a,10,"free from confusion or doubt: ""a complex problem requiring a clear head""; ""not clear about what is expected of us""",
183860,00403911,a,10,"not transparent to X-rays or other forms of radiation; ""barium sulfate is radiopaque""",
183861,00404053,a,10,not mentally confused; able to think clearly and act intelligently,
183868,00405548,a,10,"mentally disordered: ""a mind clouded by sorrow""",
183875,00406692,a,10,"used of persons or behavior; showing no clemency or mercy: ""the harse sentence of an inclement judge""",2516
183880,00407480,a,10,"(informal) thoroughly unpleasant; ""filthy (or foul or nasty or vile) weather we're having""",
183881,00407645,a,10,"marked by rain: ""their vacation turned out to be a series of rainy days""",2126
183824,00396927,a,10,"exhibiting or caused by radioactivity: ""radioactive isotope""; ""radioactive decay""; ""radioactive fallout""",
183872,00406227,a,10,"(informal) dazed from or as if from repeated blows; ""knocked silly by the impact""; ""slaphappy with exhaustion""",
183876,00406885,a,10,"not forbearing; ruthless: ""an unsparing critic""",2516
183877,00406988,a,10,"(of weather or climate) physically mild; ""clement weather""",2126
183836,00399098,a,10,"(of language) transparently clear; easily understandable; ""writes in a limpid style""; ""lucid directions""; ""a luculent oration""-Robert Burton; ""pellucid prose""; ""a crystal clear explanation""; ""a perspicuous argument""",2234
183867,00405389,a,10,"stupefied by alcoholic drink: ""the wino's poor befuddled mind""; ""a mind befogged with drink""",
183884,00408224,a,10,"showing self-interest and shrewdness in dealing with others; ""a cagey lawyer""; ""too clever to be sound""",
183830,00397847,a,10,"having the purity corrupted; made unclean: ""the defiled Temple""",1565
211380,L2051978,n,9,Registers of the higher magistrates,
183892,00409838,a,10,(of especially persons) lacking sense or understanding or judgment,
183894,00410147,a,10,in the same direction as the rotating hands of a clock,
183895,00410293,a,10,rotating to the right,
183896,00410405,a,10,in the direction opposite to the rotation of the hands of a clock,
183897,00410603,a,10,rotating to the left,
183914,00414103,a,10,near in space or time,
183932,00417497,a,10,(nautical) having the sails trimmed for sailing as close to the wind as possible,1942
183899,00411149,a,10,of a seeker; far from the object sought,
183903,00411844,a,10,"more distant in especially space or time: ""they live in the farther house""",
183905,00412322,a,10,"more distant in especially degree: ""nothing could be further from the truth""; ""further from our expectations""; ""farther from the truth""; ""farther from our expectations""",
183907,00412728,a,10,"relatively far from a center or middle: ""outlying settlements""",
183906,00412554,a,10,"remote from populous or much-traveled regions; ""found a quiet out-of-the-way resort""",
183909,00413342,a,10,"near or close to but not necessarily touching: ""lands adjacent to the mountains""; ""New York and adjacent cities""",
183910,00413509,a,10,"based on strong likelihood or firm conviction rather than actual evidence: ""a moral certainty""",
183911,00413658,a,10,"close at hand: ""the nearby towns""; ""concentrated his study on the nearby planet Venus""",
183913,00413957,a,10,"situated near one another: ""neighbor states""",
183918,00414801,a,10,"distant in either space or time: ""the town is a mile away""; ""a country far away""; ""the game is a week away""",
183915,00414175,a,10,"(superlative of ""near"" or ""nigh"") most near",
183900,00411239,a,10,"far distant in space: ""distant lands""; ""remote stars""; ""a remote outpost of civilization""; ""a hideaway far removed from towns and cities""",
183919,00414962,a,10,"very distant in time or space: ""deep in the past""; ""deep in enemy territory""; ""deep in the woods""; ""a deep space probe""",
183920,00415132,a,10,"most distant in any direction: ""the extreme edge of town""",
183924,00415573,a,10,"distant but within sight: ""yonder valley""; ""the hills yonder""; (""yon"" is dialectal, as in ""what is yon place?"")",
183922,00415340,a,10,not adjacent; not next,
183927,00416557,a,10,"completely enveloping: ""the ambient air""; ""ambient sound""; ""the ambient temperature""",
183931,00417364,a,10,"close in space; within reach: ""the town is close at hand""",
183929,00416916,a,10,"located close together: ""with heads close together""; ""approximate leaves grow together but are not united""",
183933,00417636,a,10,"set close together: ""close-set eyes""; ""close-set teeth""; ""her eyes are close set""",
183936,00418121,a,10,"very close or connected in space or time: ""contiguous events""; ""immediate contact""; ""the immediate vicinity""; ""the immediate past""",
183935,00417978,a,10,"(superlative of ""close"") indicating the one of several that is the shortest distance away",
183937,00418320,a,10,"closely encircling: ""encompassing mountain ranges""; ""the surrounding countryside""",
183939,00418617,a,10,"being at close quarters: ""hand-to-hand fighting""",
183940,00418724,a,10,"placed side by side often for comparison: ""juxtaposed pictures""",
183942,00419102,a,10,"very close in space or time: ""proximate words""; ""proximate houses""",
183943,00419224,a,10,"close enough to be walked to: ""walking distance""; ""the factory with the big parking lot...is more convenient than the walk-to factory""",
183944,00419428,a,10,"far apart in relevance or relationship: ""a distant cousin""; ""a distant likeness""",
183945,00419652,a,10,"far removed mentally: ""a faraway (or distant) look in her eyes""",
183947,00419892,a,10,"far apart in nature: ""considerations entirely removed (or remote) from politics""",
183948,00420038,a,10,"separated in relationship by a given degree of descent: ""a cousin once removed""",
183950,00420393,a,10,"close in relevance or relationship: ""a close family""; ""we are all...in close sympathy with...""; ""close kin""; ""a close resemblance""",
183951,00420737,a,10,"very close in resemblance: ""sketched in an approximate likeness""; ""a near likeness""",
183953,00420979,a,10,"very close in friendship or affection: ""a bosom buddy""; ""an intimate friendship""",
183955,00421349,a,10,"held together as by social or cultural ties: ""a close-knit family""; ""close-knit little villages""; ""the group was closely knit""",
183956,00421547,a,10,"denoting confidence or intimacy: ""a confidential approach""; ""in confidential tone of voice""",
183958,00421807,a,10,"with or in a close or intimate relationship: ""a good friend""; ""my sisters and brothers are near and dear""",
200480,00168426,r,10,"to specification: ""he had the shoes made to order""",
183926,00416294,a,10,"nearest in space or position; immediately adjoining without intervening space: ""had adjacent rooms""; ""in the next room""; ""the person sitting next to me""; ""our rooms were side by side""",
183962,00422437,a,10,not befitting a cousin,
211381,L7442342,a,9,"eloquent, with eloquence",
183964,00423284,a,10,clothed or adorned with finery,
183968,00424059,a,10,dressed in trousers,
183970,00424265,a,10,clothed in finery (especially a horse in ornamental trappings),
183972,00424480,a,10,having or dressed in a coat,
183973,00424560,a,10,"dressed in clothing characteristic of a period, country, or class",
183975,00424792,a,10,(archaic) dressed or adorned (as for battle),
183976,00424890,a,10,dressed in fancy or formal clothing,
183980,00425409,a,10,dressed too elaborately,
183982,00425630,a,10,used of British soldiers during the Revolutionary War because of their red coats,
183984,00425900,a,10,wearing a surplice,
183985,00425974,a,10,(informal) dressed especially in smart clothes,2875
183966,00423822,a,10,"in ceremonial attire and paraphernalia: ""professors arrayed in robes""",
183967,00423957,a,10,"dressed in black: ""a black knight""; ""black friars""",
183969,00424159,a,10,"dressed warmly: ""bundled-up sailors and soldiers""",
183971,00424385,a,10,"dressed in a cassock: ""cassocked monks""",
183974,00424680,a,10,"having the head enclosed in a cowl or hood: ""a cowled monk""",
183977,00425080,a,10,"wearing a gown: ""beautifully gowned women""",
183978,00425175,a,10,"dressed in a habit: ""the habited men of the monastery""",
183979,00425283,a,10,"wearing a heavy coat: ""heavy-coated policemen astride noble horses""",
183983,00425784,a,10,"outfitted or supplied with clothing: ""recruits suited in green""",
183986,00426073,a,10,"dressed well or smartly: ""the girls were well turned out and smart""",
183987,00426197,a,10,"dressed in a tuxedo: ""a tuxedoed gentleman""",
183993,00427123,a,10,"completely unclothed: ""bare bodies""; ""naked from the waste up""; ""a nude model""",
