id,uri,lemma,pos,validated,morpho,principal_parts,prosody
23818,23818,Hispania,n,1,n-s---fn1-,Hispani,Hispania
23794,h0336,hexagonum,n,1,n-s---nn2-,hexagon,hexagonum
23754,h0114,harenosus,a,1,aps---mn1-,harenos harenos harenos,harenosus
102729,a2278,antonesco,v,0,v1spia--3-,,antonesco
23863,h0646,humanitas,n,1,n-s---fn3-,humanitat,humanitas
120119,120119,pacifica,n,0,n-p---nn2-,pacific,pacifica
23865,h0649,humanus,a,1,aps---mn1-,human human human,humanus
23866,h0652,humiliatio,n,1,n-s---fn3-,humiliation,humiliatio
23867,h0654,humilio,v,1,v1spia--1-,humili humiliau humiliat,humilio
23868,h0655,humilis,a,1,aps---cn3i,humil humil humil,humilis
23872,h0667,hyaena,n,1,n-s---fn1-,hyaen,hyaena
23874,h0676,hydra,n,1,n-s---fn1-,hydr,hydra
23875,h0681,hydrargyrus,n,1,n-s---mn2-,hydrargyr,hydrargyrus
23880,h0747,hyperbole,n,1,n-s---fn1g,hyperbol,hyperbole
23882,h0781,hypocrisis,n,1,n-s---fn3i,hypocris,hypocrisis
23884,h0783,hypodiaconus,n,1,n-s---mn2-,hypodiacon,hypodiaconus
23885,h0798,hypomnema,n,1,n-s---nn3-,hypomnemat,hypomnema
23886,h0807,hypotenusa,n,1,n-s---fn1-,hypotenus,hypotenusa
23887,i0025,iambeus,a,1,aps---mn1-,iambe iambe iambe,iambeus
23869,h0656,humilitas,n,1,n-s---fn3-,humilitat,humilitas
23890,i0049,ibi,r,1,rp--------,,ibi
102735,a2284,antura,n,0,n-s---fn1-,antur,antura
23891,i0052,ibis,n,1,n-s---fn3-,ibid,ibis
23892,i0057,ico,v,1,v1spia--3-,ic ic ict,ico
23893,i0255,illotus,a,1,aps---mn1-,illot illot illot,illotus
23895,i0265,illuminatio,n,1,n-s---fn3-,illumination,illuminatio
102736,a2939,anularis,a,0,aps---cn3i,anular anular anular,anularis
23896,i0268,illumino,v,1,v1spia--1-,illumin illuminau illuminat,illumino
102737,a2288,anulla,n,0,n-s---fn1-,anull,anulla
23841,h0586,horreo,v,1,v1spia--2-,horr horru -,horreo
23838,h0553,hora,n,1,n-s---fn1-,hor,hora
23827,h0492,holocaustosis,n,1,n-s---fn3i,holocaustos,holocaustosis
23828,h0491,holocaustum,n,1,n-s---nn2-,holocaust,holocaustum
23830,h0515,homicidium,n,1,n-s---nn2-,homicidi,homicidium
23831,h0518,homo,n,1,n-s---mn3-,homin,homo
23839,h0571,horizon,n,1,n-s---mn3i,horizont,horizon
102738,a2289,anuloculter,n,0,n-s---mn2r,anulocultr,anuloculter
102739,a2986,anxia,n,0,n-s---fn1-,anxi,anxia
102740,a2295,anxianimus,a,0,aps---mn1-,anxianim anxianim anxianim,anxianimus
23832,h0534,honestas,n,1,n-s---fn3-,honestat,honestas
23836,h0544,honorifico,v,1,v1spia--1-,honorific honorificau honorificat,honorifico
23840,h0577,horologium,n,1,n-s---nn2-,horologi,horologium
102741,a2298,anxifer,a,0,aps---mn1r,anxifer anxifer anxifer,anxifer
23889,i0029,iambus,n,1,n-s---mn2-,iamb,iambus
23837,h0548,honoro,v,1,v1spia--1-,honor honorau honorat,honoro
23879,h0730,hymnus,n,1,n-s---mn2-,hymn,hymnus
23883,h0782,hypocrites,n,1,n-s---mn1g,hypocrit,hypocrites
102728,102728,antithetum,n,0,n-s---nn2-,antithet,antithetum
23870,h0660,humo,v,1,v1spia--1-,hum humau humat,humo
23864,23864,humaniter,r,1,rp--------,human,humaniter
102730,102730,antonomasiuus,a,0,aps---mn1-,antonomasiu antonomasiu antonomasiu,antonomasiuus
102731,102731,antonomastice,r,0,rp--------,,antonomastice
102733,102733,antroo,v,0,v1spia--1-,antro antroau antroa,antroo
102734,102734,antruo,v,0,v1spia--1-,antru antruau antrua,antruo
23877,23877,Hymen,n,0,n-s---mn3-,Hymen,Hymen
23878,23878,Hymenaeus,n,1,n-s---mn2-,Hymenae,Hymenaeus
23833,23833,honeste,r,1,rp--------,honest,honeste
23835,23835,honor,n,1,n-s---mn3-,honor,honor
22484,d1236,diadema,n,1,n-s---nn3-,diademat,diadema
23961,i0514,impertio,v,1,v1spia--4-,impert impertiu impertit,impertio
23920,i0377,immineo,v,1,v1spia--2-,immin - -,immineo
102744,a2305,aoratos,a,0,aps---mn1g,aorat aorat aorat,aoratos
120120,120120,pacificatus,a,0,aps---mn1-,pacificat pacificat pacificat,pacificatus
102748,a2307,apaetesis,n,0,n-s---fn3i,apaetes,apaetesis
120121,120121,pacifice,r,0,rp--------,,pacifice
102751,a2313,aparemphatus,a,0,aps---mn1-,aparemphat aparemphat aparemphat,aparemphatus
102752,a2314,aparine,n,0,n-s---fn1g,aparin,aparine
23956,i0494,imperitia,n,1,n-s---fn1-,imperiti,imperitia
23930,i0394,immoderatus,a,1,aps---mn1-,immoderat immoderat immoderat,immoderatus
120123,120123,pacio,n,0,n-s---fn3-,pacion,pacio
23922,i0380,immisceo,v,1,v1spia--2-,immisc immiscu immixt,immisceo
102746,102746,aoristus,n,0,n-s---mn2-,aorist,aoristus
23923,i0385,immissio,n,1,n-s---fn3-,immission,immissio
23924,i0387,immitis,a,1,aps---cn3i,immit immit immit,immitis
23951,23951,impense,r,1,rp--------,impens,impense
23925,i0388,immitto,v,1,v1spia--3-,immitt immis immiss,immitto
23926,i0389,immo,r,1,rp--------,,immo
23927,i0390,immobilis,a,1,aps---cn3i,immobil immobil immobil,immobilis
23928,i0391,immobilitas,n,1,n-s---fn3-,immobilitat,immobilitas
23929,i0393,immoderatio,n,1,n-s---fn3-,immoderation,immoderatio
23931,i0403,immolo,v,1,v1spia--1-,immol immolau immolat,immolo
23932,i0407,immortalis,a,1,aps---cn3i,immortal immortal immortal,immortalis
23933,i0408,immortalitas,n,1,n-s---fn3-,immortalitat,immortalitas
23934,i0411,immugio,v,1,v1spia--4-,immug immugi -,immugio
23936,i0416,immundus,a,1,aps---mn1-,immund immund immund,immundus
23937,i0419,immunitas,n,1,n-s---fn3-,immunitat,immunitas
23938,i0421,immurmuro,v,1,v1spia--1-,immurmur immurmurau immurmurat,immurmuro
23939,i0440,impar,a,1,aps---an3i,impar impar impar,impar
23940,i0452,impatiens,a,1,aps---an3i,impatient impatient impatient,impatiens
23941,i0455,impauidus,a,1,aps---mn1-,impauid impauid impauid,impauidus
23942,i0460,impedimentum,n,1,n-s---nn2-,impediment,impedimentum
102749,102749,apala,n,0,n-p---nn2-,apal,apala
23943,i0461,impedio,v,1,v1spia--4-,imped impediu impedit,impedio
23945,i0464,impello,v,1,v1spia--3-,impell impul impuls,impello
23946,i0465,impendeo,v,1,v1spia--2-,impend - -,impendeo
23947,i0468,impendium,n,1,n-s---nn2-,impendi,impendium
23948,i0469,impendo,v,1,v1spia--3-,impend impend impens,impendo
23950,i0491,impensa,n,1,n-s---fn1-,impens,impensa
120127,120127,pactitius,a,0,aps---mn1-,pactiti pactiti pactiti,pactitius
23952,i0480,imperator,n,1,n-s---mn3-,imperator,imperator
24988,m0588,meio,v,1,v1spia--3i,mei - -,meio
23953,i0512,imperatum,n,1,n-s---nn2-,imperat,imperatum
23954,i0487,imperfectio,n,1,n-s---fn3-,imperfection,imperfectio
23955,i0493,imperiosus,a,1,aps---mn1-,imperios imperios imperios,imperiosus
23957,i0495,imperito,v,1,v1spia--1-,imperit imperitau imperitat,imperito
23913,23913,immaculatus,a,1,aps---mn1-,immaculat immaculat immaculat,immaculatus
23958,i0497,imperitus,a,1,aps---mn1-,imperit imperit imperit,imperitus
23959,i0496,imperium,n,1,n-s---nn2-,imperi,imperium
23960,i0503,impero,v,1,v1spia--1-,imper imperau imperat,impero
120128,120128,pactiuncula,n,0,n-s---fn1-,pactiuncul,pactiuncula
23897,i0272,illusio,n,1,n-s---fn3-,illusion,illusio
23919,i0370,immergo,v,1,v1spia--3-,immerg immers immers,immergo
23944,23944,impeditus,a,1,aps---mn1-,impedit impedit impedit,impeditus
120130,120130,padi,n,0,n-p---mn2-,pad,padi
23969,i0553,impius,a,1,aps---mn1-,impi impi impi,impius
23971,i0566,impleo,v,1,v1spia--2-,impl impleu implet,impleo
23980,i0610,impostor,n,1,n-s---mn3-,impostor,impostor
23981,i0613,impotentia,n,1,n-s---fn1-,impotenti,impotentia
23984,i0628,impressio,n,1,n-s---fn3-,impression,impressio
23986,i0632,imprimo,v,1,v1spia--3-,imprim impress impress,imprimo
102756,a2317,apello,v,0,v1spia--3-,,apello
23987,i0639,improbo,v,1,v1spia--1-,improb improbau improbat,improbo
23988,i0642,improbus,a,1,aps---mn1-,improb improb improb,improbus
23992,i0664,improuisus,a,1,aps---mn1-,improuis improuis improuis,improuisus
23996,i0669,impudentia,n,1,n-s---fn1-,impudenti,impudentia
23997,i0677,impugno,v,1,v1spia--1-,impugn impugnau impugnat,impugno
23998,i0680,impulsor,n,1,n-s---mn3-,impulsor,impulsor
24018,i3138,inauditus,a,1,aps---mn1-,inaudit inaudit inaudit,inauditus
24019,i0805,inauro,v,1,v1spia--1-,inaur inaurau inaurat,inauro
102757,a2319,apenarii,n,0,n-p---mn2-,apenari,apenarii
24020,i0855,incendiarius,a,1,aps---mn1-,incendiari incendiari incendiari,incendiarius
24022,i0858,incendo,v,1,v1spia--3-,incend incend incens,incendo
24023,i3141,incensum,n,1,n-s---nn2-,incens,incensum
24025,i0864,incentio,n,1,n-s---fn3-,incention,incentio
24026,i0866,incentor,n,1,n-s---mn3-,incentor,incentor
102760,a2324,apertilis,a,0,aps---cn3i,apertil apertil apertil,apertilis
102761,a2326,apertiuus,a,0,aps---mn1-,apertiu apertiu apertiu,apertiuus
24027,i0869,inceptio,n,1,n-s---fn3-,inception,inceptio
24028,i0871,incepto,v,1,v1spia--1-,incept inceptau inceptat,incepto
24029,i9861,inceptum,n,1,n-s---nn2-,incept,inceptum
24021,i0857,incendium,n,1,n-s---nn2-,incendi,incendium
23964,i0525,impetigo,n,1,n-s---fn3-,impetigin,impetigo
102762,a2329,apertularius,n,0,n-s---mn2-,apertulari,apertularius
23973,i0574,implico,v,1,v1spia--1-,implic implicau implicit,implico
102765,a2335,aphaeresis,n,0,n-s---fn3i,aphaeres,aphaeresis
115410,i2929,isemerinos,a,0,aps---mn1g,isemerin isemerin isemerin,isemerinos
23974,i0577,imploro,v,1,v1spia--1-,implor implorau implorat,imploro
102753,102753,aparthenus,a,0,aps---mn1-,aparthen aparthen aparthen,aparthenus
23975,i0591,impono,v,1,v1spia--3-,impon imposu imposit,impono
102755,102755,apeliotes,n,0,n-s---mn1g,apeliot,apeliotes
23965,i0527,impeto,v,1,v1spia--3-,impet impetiu impetit,impeto
23966,i0533,impetro,v,1,v1spia--1-,impetr impetrau impetrat,impetro
23967,i0521,impetus,n,1,n-s---mn4-,impet,impetus
23976,i0599,importo,v,1,v1spia--1-,import importau importat,importo
23977,i0601,importunus,a,1,aps---mn1-,importun importun importun,importunus
23978,i0605,impositio,n,1,n-s---fn3-,imposition,impositio
23985,23985,imprimis,r,1,rp--------,,imprimis
23990,23990,improspere,r,1,rp--------,,improspere
23995,23995,impudenter,r,1,rp--------,impudent,impudenter
102759,102759,aperticius,a,0,aps---mn1-,apertici apertici apertici,aperticius
23972,23972,implicatus,a,1,aps---mn1-,implicat implicat implicat,implicatus
102763,102763,apexao,n,0,n-s---fn3-,apexaon,apexao
102764,102764,aphace,n,0,n-s---fn1g,aphac,aphace
102754,102754,Apator,n,0,n-s---mn3-,Apator,Apator
102705,102705,antirrhinum,n,0,n-s---nn2-,antirrhin,antirrhinum
102770,102770,aphracta,n,0,n-p---nn2-,aphract,aphracta
102771,102771,aphractum,n,0,n-s---nn2-,aphract,aphractum
120131,120131,paeanites,n,0,n-s---mn1-,paeanit,paeanites
102774,a2341,aphrissa,n,0,n-s---fn1-,aphriss,aphrissa
102773,102773,aphratum,n,0,n-s---nn2-,aphrat,aphratum
24034,i0901,incilo,v,1,v1spia--1-,incil incilau incilat,incilo
24032,i0885,incesto,v,1,v1spia--1-,incest incestau incestat,incesto
24036,i0907,incipio,v,1,v1spia--3i,incip incep incept,incipio
24037,i0908,incipisso,v,1,v1spia--3-,incipiss - -,incipisso
24038,i0918,incitamentum,n,1,n-s---nn2-,incitament,incitamentum
24039,i0919,incitatio,n,1,n-s---fn3-,incitation,incitatio
24040,i0923,incito,v,1,v1spia--1-,incit incitau incitat,incito
120132,120132,paeantis,n,0,n-s---mn3-,paeantid,paeantis
24043,i0938,inclementia,n,1,n-s---fn1-,inclementi,inclementia
24042,24042,inclementer,r,1,rp--------,inclement,inclementer
24044,i0941,inclinatio,n,1,n-s---fn3-,inclination,inclinatio
24045,i0944,inclino,v,1,v1spia--1-,inclin inclinau inclinat,inclino
24046,i0945,includo,v,1,v1spia--3-,includ inclus inclus,includo
24047,i0948,inclutus,a,1,aps---mn1-,inclut inclut inclut,inclutus
24050,i3147,incognitus,a,1,aps---mn1-,incognit incognit incognit,incognitus
24051,i0960,incoho,v,1,v1spia--1-,incoh incohau incohat,incoho
24054,i0969,incolumitas,n,1,n-s---fn3-,incolumitat,incolumitas
24055,i0983,incommoditas,n,1,n-s---fn3-,incommoditat,incommoditas
24056,i0984,incommodo,v,1,v1spia--1-,incommod incommodau incommodat,incommodo
24057,i0985,incommodum,n,1,n-s---nn2-,incommod,incommodum
24053,i0965,incolo,v,1,v1spia--3-,incol incolu incult,incolo
24060,24060,incomparabiliter,r,1,rp--------,,incomparabiliter
24061,24061,inconstanter,r,1,rp--------,inconstant,inconstanter
24062,24062,inconsulte,r,1,rp--------,inconsult,inconsulte
24065,i1084,incorporalis,a,1,aps---cn3i,incorporal incorporal incorporal,incorporalis
24066,i1087,incorporeus,a,1,aps---mn1-,incorpore incorpore incorpore,incorporeus
24068,24068,incorrupte,r,1,rp--------,incorrupt,incorrupte
24086,24086,incuriose,r,1,rp--------,incurios,incuriose
24069,i1091,incorruptela,n,1,n-s---fn1-,incorruptel,incorruptela
24070,i1093,incorruptibilitas,n,1,n-s---fn3-,incorruptibilitat,incorruptibilitas
24071,i1094,incorruptio,n,1,n-s---fn3-,incorruption,incorruptio
24073,i1099,incrasso,v,1,v1spia--1-,incrass incrassau incrassat,incrasso
24074,i1101,increbresco,v,1,v1spia--3-,increbresc increbu -,increbresco
24076,i1106,incredulitas,n,1,n-s---fn3-,incredulitat,incredulitas
24077,i1107,incredulus,a,1,aps---mn1-,incredul incredul incredul,incredulus
24078,i1111,incrementum,n,1,n-s---nn2-,increment,incrementum
24079,i1112,increpatio,n,1,n-s---fn3-,increpation,increpatio
24080,i1116,increpito,v,1,v1spia--1-,increpit increpitau increpitat,increpito
24082,i1118,incresco,v,1,v1spia--3-,incresc increu -,incresco
24084,i9866,incultus,a,1,aps---mn1-,incult incult incult,incultus
24083,i9866,incultus,n,1,n-s---mn4-,incult,incultus
24085,i1153,incuria,n,1,n-s---fn1-,incuri,incuria
24093,i1171,incus,n,1,n-s---fn3-,incud,incus
24088,i1156,incurro,v,1,v1spia--3-,incurr incurr incurs,incurro
24089,i1160,incursio,n,1,n-s---fn3-,incursion,incursio
24091,i9867,incursus,n,1,n-s---mn4-,incurs,incursus
24094,i1179,incutio,v,1,v1spia--3i,incut incuss incuss,incutio
24095,i1181,indagatio,n,1,n-s---fn3-,indagation,indagatio
24031,i0882,incesso,v,1,v1spia--3-,incess incessiu -,incesso
120141,120141,paenitens,a,0,aps---an3i,paenitent paenitent paenitent,paenitens
102776,a7344,aphron,n,0,n-s---nn2g,aphr,aphron
102775,102775,aphrodisiace,n,0,n-s---fn1g,aphrodisiac,aphrodisiace
113077,i0338,immaculabilis,a,0,aps---cn3i,immaculabil immaculabil immaculabil,immaculabilis
24106,24106,indigena,a,1,aps---an1-,indigen indigen indigen,indigena
113079,i0339,immaculo,v,0,v1spia--1-,immacul immaculau immacula,immaculo
24099,i1197,indecoro,v,1,v1spia--1-,indecor indecorau indecorat,indecoro
24100,i1246,index,n,1,n-s---cn3-,indic,index
24102,i1249,indicatiuus,a,1,aps---mn1-,indicatiu indicatiu indicatiu,indicatiuus
24153,24153,infans,n,1,n-s---mn3i,infant,infans
113076,i0337,imitus,r,0,rp--------,,imitus
24103,i1251,indicium,n,1,n-s---nn2-,indici,indicium
24108,i1269,indigestus,a,1,aps---mn1-,indigest indigest indigest,indigestus
24109,i1275,indignatio,n,1,n-s---fn3-,indignation,indignatio
24110,i1278,indignitas,n,1,n-s---fn3-,indignitat,indignitas
24111,i1374,indignus,a,1,aps---mn1-,indign indign indign,indignus
24113,i1285,indiligentia,n,1,n-s---fn1-,indiligenti,indiligentia
24115,i1308,indispositus,a,1,aps---mn1-,indisposit indisposit indisposit,indispositus
24116,i1318,indistinctus,a,1,aps---mn1-,indistinct indistinct indistinct,indistinctus
24117,i1320,indiuiduus,a,1,aps---mn1-,indiuidu indiuidu indiuidu,indiuiduus
24119,i1325,indo,v,1,v1spia--3-,ind inded indit,indo
24121,i1330,indoctus,a,1,aps---mn1-,indoct indoct indoct,indoctus
24122,i1336,indolesco,v,1,v1spia--3-,indolesc indolu -,indolesco
24123,i1340,indomitus,a,1,aps---mn1-,indomit indomit indomit,indomitus
24125,i1349,indubius,a,1,aps---mn1-,indubi indubi indubi,indubius
24126,i1352,induco,v,1,v1spia--3-,induc indux induct,induco
24127,i1355,inductio,n,1,n-s---fn3-,induction,inductio
24129,i1362,indulgeo,v,1,v1spia--2-,indulg induls indult,indulgeo
24130,i1365,indumentum,n,1,n-s---nn2-,indument,indumentum
24131,i1366,induo,v,1,v1spia--3-,indu indu indut,induo
24133,i1376,industria,n,1,n-s---fn1-,industri,industria
24135,i1385,inedia,n,1,n-s---fn1-,inedi,inedia
24136,i1390,inefficax,a,1,aps---an3i,inefficac inefficac inefficac,inefficax
24139,i3159,inerrans,a,1,aps---an3i,inerrant inerrant inerrant,inerrans
24156,24156,infantiliter,r,1,rp--------,,infantiliter
24140,i1434,iners,a,1,aps---an3-,inert inert inert,iners
24141,i1435,inertia,n,1,n-s---fn1-,inerti,inertia
24143,i1438,ineruditus,a,1,aps---mn1-,inerudit inerudit inerudit,ineruditus
24144,i1470,inexpertus,a,1,aps---mn1-,inexpert inexpert inexpert,inexpertus
24146,i1475,inexplebilis,a,1,aps---cn3i,inexplebil inexplebil inexplebil,inexplebilis
24147,i1476,inexpletus,a,1,aps---mn1-,inexplet inexplet inexplet,inexpletus
24150,i1493,inexsuperabilis,a,1,aps---cn3i,inexsuperabil inexsuperabil inexsuperabil,inexsuperabilis
24151,i1507,infamia,n,1,n-s---fn1-,infami,infamia
24152,i1509,infamo,v,1,v1spia--1-,infam infamau infamat,infamo
24154,i1513,infantia,n,1,n-s---fn1-,infanti,infantia
24155,i1516,infantilis,a,1,aps---cn3i,infantil infantil infantil,infantilis
24157,24157,infatigabiliter,r,1,rp--------,,infatigabiliter
24101,24101,India,n,0,n-s---fn1-,Indi,India
24158,i1523,infaustus,a,1,aps---mn1-,infaust infaust infaust,infaustus
24159,i1531,infecunditas,n,1,n-s---fn3-,infecunditat,infecunditas
24105,i1255,indictio,n,1,n-s---fn3-,indiction,indictio
24161,i1533,infelicitas,n,1,n-s---fn3-,infelicitat,infelicitas
24168,i1558,infestus,a,1,aps---mn1-,infest infest infest,infestus
102779,a2347,aphye,n,0,n-s---fn1g,aphy,aphye
102777,102777,aphtae,n,0,n-p---fn1-,apht,aphtae
24222,i1759,inicio,v,1,v1spia--3i,inic iniec iniect,inicio
24169,i1562,inficio,v,1,v1spia--3i,infic infec infect,inficio
